PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,404696043,145979369,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCCCC3,Unspecified,,,,47.1,IC50,=,47100,nM,
2,404699559,145981663,CCN1CCN(CC1)CCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Active,,,,1,IC50,=,1000,nM,
3,404712812,145990523,CC1CCN(CC1)CCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Unspecified,,,,112.2,IC50,=,112200,nM,Outside typical range
4,440139260,142772675,CC1CCN(CC1)CC(=O)N[C@@H]2C[C@H]3CC[C@@]2(C3(C)C)C,Unspecified,,,,44.2,IC50,=,44200,nM,
5,461523317,162649203,CC1CCN(CC1)CCCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Active,,,,1.2,IC50,=,1200,nM,
6,461536651,162658565,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCCN3CCN(CC3)C,Unspecified,,,,12.2,IC50,=,12200,nM,
7,461559940,6347575,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2NC(=O)CCN3CCOCC3,Unspecified,,,,65.2,IC50,=,65200,nM,
