PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,520004807,177642113,CN(C)C1CCN(CC1)C(=O)C2=CC3=CC=CC=C3N2CC4CCCCC4,Active,,,,0.391,EC50,=,391,nM
2,520006892,177643093,CN(C)C1CCN(CC1)C(=O)C2=CC3=CC=CC=C3N2CC4=CC=C(C=C4)F,Unspecified,,,,20,EC50,>,20000,nM
3,520009562,45496049,CN(C)CCNC(=O)C1=CC2=C(N1CC3=CC=C(C=C3)Cl)C=CO2,Active,,,,2.43,EC50,=,2430,nM
4,520011699,177645295,CN(C)C1CCN(CC1)C(=O)C2=CC3=C(N2CC4=CC=C(C=C4)Cl)C=CO3,Active,,,,6.21,EC50,=,6210,nM
5,520018495,177648217,CN(C)C1CCN(CC1)C(=O)C2=CC3=CC=CC=C3N2CC4=CC=C(C=C4)OC,Active,,,,0.854,EC50,=,854,nM
