PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,163314316,51050926,CC(C)C(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)Br,Unspecified,,,,Activity,=,116,%
2,163314317,51050542,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=C(C=C2)Br,Unspecified,,,,Activity,=,18,%
3,163314318,51050637,CCN(CC)CC(=O)NCC1=CN(N=N1)CC2=CC=CC=C2,Unspecified,,,,Activity,=,35,%
4,163314319,51050446,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=C(C(=C(C(=C2F)F)F)F)F,Unspecified,,,,Activity,=,52,%
5,163314320,51050831,CC(C)COC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)OC,Unspecified,,,,Activity,=,118,%
6,163314321,51050339,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC(=CC=C2)OC,Unspecified,,,,Activity,=,4,%
7,163315740,1480148,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)OC,Unspecified,,,,Activity,=,56,%
8,163317772,51050640,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=CC=C2Br,Unspecified,,,,Activity,=,19,%
9,163317773,10935299,CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)Br,Unspecified,,,,Activity,=,105,%
10,163317774,51050927,C1=CC=C(C=C1)C(=O)NCC2=CC(=NO2)C3=CC=C(C=C3)Br,Unspecified,,,,Activity,=,82,%
11,163317775,51050635,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC(=CC=C2)I,Unspecified,,,,Activity,=,111,%
12,163317776,51039202,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=C(C=C(C=C2Br)Br)Br,Unspecified,,,,Activity,=,3,%
13,163317777,51050639,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=C(C=C(C=C2)OC)[N+](=O)[O-],Unspecified,,,,Activity,=,92,%
14,163317778,51050537,CCCC1=NOC(=C1)CNC(=O)CN(CC)CC,Unspecified,,,,Activity,=,102,%
15,163317779,51050539,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC(=C(C=C2)OC)I,Unspecified,,,,Activity,=,4,%
16,163317780,51050830,CC(C)(C)OC(=O)N[C@@H](CC(=O)OCC1=CC=CC=C1)C(=O)NCC2=CC(=NO2)C3=CC=C(C=C3)OC,Unspecified,,,,Activity,=,118,%
17,163317781,51050342,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC(=CC=C2)[N+](=O)[O-],Unspecified,,,,Activity,=,37,%
18,163321239,51050540,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=C(C=C2)OC,Unspecified,,,,Activity,=,58,%
19,163321240,51050543,CCCCCCCN1C=C(N=N1)CNC(=O)CN(CC)CC,Unspecified,,,,Activity,=,60,%
20,163321241,51050636,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC(=CC=C2)OC,Unspecified,,,,Activity,=,90,%
21,163321242,51050742,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC2=CC(=NO2)C3=CC=C(C=C3)OC,Unspecified,,,,Activity,=,188,%
22,163321243,51050832,COC1=CC=C(C=C1)C2=NOC(=C2)CNC(=O)CBr,Unspecified,,,,Activity,=,121,%
23,163321244,51050441,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)C(F)(F)F,Unspecified,,,,Activity,=,24,%
24,163324614,51050739,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC(=C(C(=C2)OC)OC)OC,Unspecified,,,,Activity,=,69,%
25,163324615,48165733,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)C,Unspecified,,,,Activity,=,381,%
26,163324616,51050827,COC1=CC=C(C=C1)C2=NOC(=C2)CNC(=O)[C@H](C3CCCN3C(=O)OCC4=CC=CC=C4)NC(=O)OCC5=CC=CC=C5,Unspecified,,,,Activity,=,254,%
27,163328063,51050541,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=C(C=C2)Cl,Unspecified,,,,Activity,=,105,%
28,163328064,51050638,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=C(C=C(C=C2Cl)Cl)Cl,Unspecified,,,,Activity,=,33,%
29,163328065,51050445,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=CO2,Unspecified,,,,Activity,=,77,%
