PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103628891,3005573,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,Active,,,,0.09,EC50,=,90,nM
2,442046419,156009489,CC(C1=CC=C(C=C1)C(=O)N2CC(C3=CC=CC=C32)C(C)(C)C)N4CCCCC4,Active,,,,0.16,EC50,=,160,nM
3,442046528,156009574,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)SC(F)(F)F)Cl,Active,,,,1.27,EC50,=,1270,nM
4,442047226,124342464,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(F)(F)F,Active,,,,3.87,EC50,=,3870,nM
5,442049558,156011787,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)N3CCC4=C3C=C(C=C4)Cl,Active,,,,2.22,EC50,=,2220,nM
6,442051203,124343734,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=CC(=C3)C(F)(F)F,Active,,,,2.97,EC50,=,2970,nM
7,442051367,154729054,CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCOCC4)C(F)(F)F,Active,,,,0.012,EC50,=,12,nM
8,442052799,156014108,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(C#N)C4CCCC4,Active,,,,0.73,EC50,=,730,nM
9,442053693,156014733,C1CCN(CC1)CC2=CC=C(S2)C(=O)NC3=CC=C(C=C3)C(F)(F)F,Active,,,,5.6,EC50,=,5600,nM
10,442053889,156014872,C1CCC(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)CN4CCCCC4)F,Active,,,,0.38,EC50,=,380,nM
11,442054808,156015470,CC(C1=CC=C(C=C1)C(=O)N2CCC3=C2C=CC(=C3)C(C)(C)C)N4CCCCC4,Active,,,,2.05,EC50,=,2050,nM
12,442055170,156015699,CC(C)(C)C1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCCCC3)C(C)(C)C,Active,,,,0.48,EC50,=,480,nM
13,442055750,156016065,CC1(CN(C2=CC=CC=C21)C(=O)C3=CC=C(C=C3)CN4CCCCC4)C,Active,,,,2.22,EC50,=,2220,nM
14,442057245,156017147,C1CCC(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCCCC4,Active,,,,0.99,EC50,=,990,nM
15,442058244,124346730,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,Active,,,,1.52,EC50,=,1520,nM
16,442058505,156018046,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)N3CCC4=C3C=C(C=C4)C(F)(F)F,Active,,,,1.68,EC50,=,1680,nM
17,442058733,156018209,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C45CC6CC(C4)CC(C6)C5,Active,,,,0.035,EC50,=,35,nM
18,442058961,156018379,C1CCC(CC1)CCNC(=O)C2=CC=C(C=C2)CN3CCCCC3,Active,,,,2.32,EC50,=,2320,nM
19,442059204,156018553,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C4CC4,Active,,,,4.57,EC50,=,4570,nM
20,442060156,156019221,CC(C1=CC=C(C=C1)C(=O)N2CCC3=C2C=C(C=C3)C(F)(F)F)N4CCCCC4,Active,,,,1.56,EC50,=,1560,nM
21,442060288,156019313,CC(C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C3CCCCC3)N4CCCCC4,Active,,,,0.33,EC50,=,330,nM
22,442060729,53281807,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCCCC3,Active,,,,2.87,EC50,=,2870,nM
23,442061890,156020438,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)N4CCC(CC4)(F)F,Active,,,,0.82,EC50,=,820,nM
24,442061981,126034583,C1COCCN1CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C45CC6CC(C4)CC(C6)C5,Active,,,,0.018,EC50,=,18,nM
25,442063326,41455479,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCCCC3,Active,,,,9.86,EC50,=,9860,nM
26,442064230,156022056,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)C(F)(F)F)Cl,Active,,,,2.34,EC50,=,2340,nM
