PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,312356031,162147,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3NCCC4,Unspecified,,,,102.7,EC50,=,102700,nM,Outside typical range
2,404673249,145964144,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CS5,Unspecified,,,,200,EC50,>,200000,nM,Outside typical range
3,404673278,145964165,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,31.3,EC50,=,31300,nM,
4,404673911,145964586,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,19.6,EC50,=,19600,nM,
5,404673973,13408688,CN[C@@H]1CC[C@@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,Unspecified,,,,28.6,EC50,=,28600,nM,
