PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,312356031,162147,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3NCCC4,Unspecified,,,,12.4,EC50,=,12400,nM
2,404673249,145964144,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CS5,Unspecified,,,,33.2,EC50,=,33200,nM
3,404673278,145964165,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,10.6,EC50,=,10600,nM
4,404673911,145964586,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC(=CC(=C5)Cl)Cl,Active,,,,6.1,EC50,=,6100,nM
5,404673973,13408688,CN[C@@H]1CC[C@@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,Active,,,,3,EC50,=,3000,nM
6,404676728,145966425,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,39.8,EC50,=,39800,nM
7,404676766,145966448,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=C(C=C(C=C5)Cl)Cl,Active,,,,6.6,EC50,=,6600,nM
8,404677784,145967145,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC=C(C=C5)Cl,Unspecified,,,,34.1,EC50,=,34100,nM
9,404684657,145971839,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=C(C=C5)Cl,Unspecified,,,,21.8,EC50,=,21800,nM
10,404685465,145972380,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CC(=C5)C#N,Unspecified,,,,69.4,EC50,=,69400,nM
11,404686560,145973105,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC=C(C=C5)Cl,Active,,,,7.1,EC50,=,7100,nM
12,404687164,145973503,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=C(C=C5)F,Unspecified,,,,17,EC50,=,17000,nM
13,404688168,145974178,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=C(C=C5)OC(F)(F)F,Unspecified,,,,10.4,EC50,=,10400,nM
14,404689444,145975034,COC1=CC=CC(=C1)CN2CCCC3=C[C@H]4C[C@@H]([C@@H]32)CN5[C@@H]4CCCC5,Unspecified,,,,12.1,EC50,=,12100,nM
15,404689513,145975079,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCC5=CC=C(C=C5)Cl,Active,,,,6,EC50,=,6000,nM
16,404689697,145975201,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC(=CC(=C5)Cl)Cl,Active,,,,8.1,EC50,=,8100,nM
17,404689773,145975253,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCC5=CC(=CC(=C5)Cl)Cl,Active,,,,5.7,EC50,=,5700,nM
18,404690419,145975673,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC(=C(C=C5)Cl)Cl,Active,,,,5.8,EC50,=,5800,nM
19,404691016,11472743,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=CC=C5,Unspecified,,,,15.2,EC50,=,15200,nM
20,404691955,145976695,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC(=C(C=C5)Cl)Cl,Active,,,,4.8,EC50,=,4800,nM
21,404692987,145977391,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,49,EC50,=,49000,nM
22,404693189,145977519,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCC5=CC(=C(C=C5)Cl)Cl,Active,,,,6.8,EC50,=,6800,nM
23,404693194,145977524,CC1=CC=CC=C1CN2CCCC3=C[C@H]4C[C@@H]([C@@H]32)CN5[C@@H]4CCCC5,Unspecified,,,,16.6,EC50,=,16600,nM
24,404694419,145978324,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=C(C=C5)Cl,Unspecified,,,,11.9,EC50,=,11900,nM
25,404694874,145978625,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,24.1,EC50,=,24100,nM
