PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,242407125,3779088,CN1CCN(CC1)CC(=O)NN(CC2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,100,EC50,>,100000,nM
2,482047675,168269649,C1CN(CCC1CCNCC(=O)NN2C3=CC=CC=C3C4=CC=CC=C42)CC5=CC=CC=C5,Active,,,,1.5,EC50,=,1500,nM
3,504795164,172439945,C1CN(CCC1CCNCCC(=O)NN2C3=CC=CC=C3C4=CC=CC=C42)CC5=CC=CC=C5,Active,,,,0.52,EC50,=,520,nM
4,504804946,172446737,CN1CCN(CC1)CCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,100,EC50,>,100000,nM
5,504815714,172454212,C1CN(CCC1CCNCCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,Active,,,,0.3,EC50,=,300,nM
6,504821047,172457917,C1CN(CCC1CCNCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,Active,,,,1.9,EC50,=,1900,nM
7,504828529,172463060,C1CN(CCC1CCNCC(=O)NC2C3=CC=CC=C3C4=CC=CC=C24)CC5=CC=CC=C5,Active,,,,0.25,EC50,=,250,nM
8,504833062,172466261,C1CN(CCN1CCNCCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,Active,,,,2.7,EC50,=,2700,nM
9,504833258,172466407,C1CN(CCN1CCNCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,Active,,,,7.8,EC50,=,7800,nM
