PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,440110677,155511106,CCN(CC)CCNC1=C2C(=NC=C1)C(=CC=N2)NCCN(CC)CC,Unspecified,,,,14.11,EC50,=,14110,nM,
2,440110677,155511106,CCN(CC)CCNC1=C2C(=NC=C1)C(=CC=N2)NCCN(CC)CC,Unspecified,,,,62.6,EC90,=,62.6,uM,
3,440121089,155518041,C1COCCN1CCCCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCCN6CCOCC6.Cl.Cl.Cl.Cl,Active,,,,0.26,EC50,=,260,nM,
4,440121089,155518041,C1COCCN1CCCCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCCN6CCOCC6.Cl.Cl.Cl.Cl,Active,,,,0.85,EC90,=,0.85,uM,
5,440126705,155521602,C1COCCN1CCNC2=C3C(=NC=C2)C(=CC=N3)NCCN4CCOCC4,Inactive,,,Potential missing data,,EC50,,,,Not Active
6,440127927,155522402,C1COCCN1CCCCNC2=C3C(=NC=C2)C(=CC=N3)NCCCCN4CCOCC4,Active,,,,2.24,EC50,=,2240,nM,
7,440127927,155522402,C1COCCN1CCCCNC2=C3C(=NC=C2)C(=CC=N3)NCCCCN4CCOCC4,Active,,,,9.9,EC90,=,9.9,uM,
8,440128722,155522896,C1COCCN1CCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCC(CN6CCOCC6)O.Cl.Cl.Cl.Cl,Active,,,,0.6,EC50,=,600,nM,
9,440128722,155522896,C1COCCN1CCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCC(CN6CCOCC6)O.Cl.Cl.Cl.Cl,Active,,,,3.5,EC90,=,3.5,uM,
10,440130802,155524251,C1COCCN1CCCNC2=C3C(=NC=C2)C(=CC=N3)NCCCN4CCOCC4,Active,,,,10,EC50,=,10000,nM,
11,440141696,155531403,C1=CC2=C(C=CN=C2C3=C1C4=NC=CC(=C4C=C3)NCCCCN)NCCCCN.Cl.Cl,Active,,,,10,EC50,=,10000,nM,
12,440141696,155531403,C1=CC2=C(C=CN=C2C3=C1C4=NC=CC(=C4C=C3)NCCCCN)NCCCCN.Cl.Cl,Unspecified,,,,23.5,EC90,=,23.5,uM,
13,440142781,155532114,CCN(CC)CCCNC1=C2C(=NC=C1)C=CC=N2,Active,,,,10,EC50,=,10000,nM,
14,440147421,155535179,C1COCCN1CC(CNC2=C3C(=NC=C2)C(=CC=N3)NCC(CN4CCOCC4)O)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
15,440148131,155535640,C1COCCN1CCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCCN6CCOCC6.Cl.Cl.Cl.Cl,Active,,,,0.7,EC50,=,700,nM,
16,440148131,155535640,C1COCCN1CCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCCN6CCOCC6.Cl.Cl.Cl.Cl,Active,,,,5,EC90,<,5,uM,
17,440156085,155540052,CN(C)CCOCCNC1=C2C=CC3=C(C2=NC=C1)C=CC4=C(C=CN=C34)NCCOCCN(C)C.Cl.Cl.Cl.Cl,Active,,,,3.53,EC50,=,3530,nM,
18,440156085,155540052,CN(C)CCOCCNC1=C2C=CC3=C(C2=NC=C1)C=CC4=C(C=CN=C34)NCCOCCN(C)C.Cl.Cl.Cl.Cl,Active,,,,6.74,EC90,=,6.74,uM,
19,440169361,224620,CCN(CC)CCCC(C)NC1=C2C(=NC=C1)C=CC=N2,Active,,,,10,EC50,=,10000,nM,
20,440171003,155546135,C1COCCN1CCCNC2=C3C(=NC=C2)C=CC=N3,Inactive,,,Potential missing data,,EC50,,,,Not Active
21,440193883,155555234,CCN(CC)CCCNC1=C2C(=NC=C1)C(=CC=N2)NCCCN(CC)CC,Active,,,,4.82,EC50,=,4820,nM,
22,440193883,155555234,CCN(CC)CCCNC1=C2C(=NC=C1)C(=CC=N2)NCCCN(CC)CC,Unspecified,,,,37.43,EC90,=,37.43,uM,
23,440204193,155559378,C1=CC2=NC=CC(=C2N=C1)NCCCCNC3=C4C=CC(=CC4=NC=C3)Cl,Active,,,,2.87,EC50,=,2870,nM,
24,440204193,155559378,C1=CC2=NC=CC(=C2N=C1)NCCCCNC3=C4C=CC(=CC4=NC=C3)Cl,Unspecified,,,,13,EC90,=,13,uM,
25,440215629,155563916,CCN(CC)CCCNC1=C2C=CC3=C(C2=NC=C1)C=CC4=C(C=CN=C34)NCCN5CCOCC5.Cl.Cl.Cl.Cl,Active,,,,0.79,EC50,=,790,nM,
26,440215629,155563916,CCN(CC)CCCNC1=C2C=CC3=C(C2=NC=C1)C=CC4=C(C=CN=C34)NCCN5CCOCC5.Cl.Cl.Cl.Cl,Active,,,,4.85,EC90,=,4.85,uM,
27,440219833,155565573,C1=CC2=C(C=CN=C2C3=C1C4=NC=CC(=C4C=C3)NCCCN)NCCCN.Cl.Cl.Cl.Cl,Active,,,,10,EC50,=,10000,nM,
28,440219833,155565573,C1=CC2=C(C=CN=C2C3=C1C4=NC=CC(=C4C=C3)NCCCN)NCCCN.Cl.Cl.Cl.Cl,Unspecified,,,,20.5,EC90,=,20.5,uM,
29,440227005,155568359,C1COCCN1CC(CNC2=C3C(=NC=C2)C=CC=N3)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
30,440229090,155569213,CCN(CC)CCCC(C)NC1=C2C(=NC=C1)C(=CC=N2)NC(C)CCCN(CC)CC,Active,,,,0.78,EC50,=,780,nM,
31,440229090,155569213,CCN(CC)CCCC(C)NC1=C2C(=NC=C1)C(=CC=N2)NC(C)CCCN(CC)CC,Active,,,,4.73,EC90,=,4.73,uM,
