PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103687564,44220271,C[C@H](C1=CN(N=N1)C2=CC=C(C=C2)Cl)OC3=CC=[N+](C4=CC=CC=C43)[O-],Active,,,,0.005,Ki,=,5,nM
2,136932533,46898106,C1=CC=C2C=C(C=CC2=C1)NC(=O)CN3C4=CC=CC=C4N=C3C5=CC=CC=N5,Active,,,,0.013,Ki,=,13,nM
3,163335292,71460873,C/C(=N\O)/C1=CC(=CC=C1)C(C)(C)NC(=O)NC2=CC(=C(C=C2)Cl)C(=O)N,Active,,,,0.002,Ki,=,2,nM
4,164147058,71297189,C[C@@H](C(=O)NC1=CC2=C(C=C1)OC(=N2)C3=CC=NC=C3)OC4=CC=CC5=CC=CC=C54,Active,,,,0.064,Ki,=,64,nM
5,164147878,71552341,CN1C(=O)C2=CC=CC=C2C(=N1)CC(=O)NC3=CC4=C(C=C3)OC5=C4CCCC5,Active,,,,0.005,Ki,=,5,nM
6,312355889,72376513,C/C(=N\O)/C1=CC(=CC=C1)C(C)(C)NC(=O)NC2=CC=C(C=C2)Br,Active,,,,0.012,Ki,=,12,nM
