PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103420941,47363,C1CN=C(N1)C2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C5=NCCN5,Unspecified,,,,49,IC50,=,49000,nM,
2,103421194,206023,C1CN=C(N1)C2=CC=C(C=C2)C3=CC4=C(S3)C=C(C=C4)C5=NCCN5,Unspecified,,,,100,IC50,>,100000,nM,
3,103421347,52603,C1CN=C(N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC5=C(N4)C=C(C=C5)C6=NCCN6,Unspecified,,,,43,IC50,=,43000,nM,
4,103722428,12207685,C1=CC(=CC=C1C#N)OC2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C#N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,103722429,45141625,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=O)N)OC4=CC=C(C=C4)C(=O)N,Unspecified,,,,100,IC50,>,100000,nM,
6,103722430,45141818,C1=CC(=CC=C1C#N)OC2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C(=N)N,Unspecified,,,,100,IC50,>,100000,nM,
7,103722488,45141819,CN(C)CCN=C(C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C(=NCCN(C)C)N)N,Unspecified,,,,28,IC50,=,28000,nM,
8,103722489,45141820,C1CNC(=NC1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC5=C(N4)C=C(C=C5)C6=NCCCN6,Unspecified,,,,100,IC50,>,100000,nM,
9,103722490,45141821,C1C(CN=C(N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC5=C(N4)C=C(C=C5)C6=NCC(CN6)O)O,Unspecified,,,,100,IC50,>,100000,nM,
10,103722578,45139447,C1=CC(=CC=C1C#N)OC2=CN=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C#N,Unspecified,,,,100,IC50,>,100000,nM,
11,103722579,45139448,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C#N)OC4=C(C=C(C=C4)C#N)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
12,103722580,45139450,C1CN=C(N1)C2=CC=C(C=C2)OC3=CN=C(C=C3)C4=CC5=C(N4)C=C(C=C5)C6=NCCN6,Unspecified,,,,55,IC50,=,55000,nM,
13,103722581,45139630,C1CNC(=NC1)C2=CC=C(C=C2)OC3=CN=C(C=C3)C4=CC5=C(N4)C=C(C=C5)C6=NCCCN6,Unspecified,,,,100,IC50,>,100000,nM,
14,103722642,45139631,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)C4=CC=C(C=C4)OC5=C(C=C(C=C5)C#N)Cl,Unspecified,,,,100,IC50,>,100000,nM,
15,103722643,45139632,C1CN=C(N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC5=C(S4)C=C(C=C5)C6=NCCN6,Unspecified,,,,18,IC50,=,18000,nM,
16,103722644,45139633,C1CNC(=NC1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC5=C(S4)C=C(C=C5)C6=NCCCN6,Unspecified,,,,100,IC50,>,100000,nM,
17,103722645,45142028,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)C4=CC=C(C=C4)OC5=C(C=C(C=C5)Cl)Cl,Unspecified,,,,100,IC50,>,100000,nM,
18,103722708,45142030,C1CN=C(N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC5=C(N4)C=C(C=C5)Cl,Unspecified,,,,51,IC50,=,51000,nM,
19,103722709,23621424,C1CN=C(N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=NC5=C(N4)C=C(C=C5)C6=NCCN6,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
20,103722710,45139634,C1CNC(=NC1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=NC5=C(N4)C=C(C=C5)C6=NCCCN6,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
21,103722711,46228743,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C#N)OC4=CC=C(C=C4)F,Unspecified,,,,100,IC50,>,100000,nM,
22,103722712,46228744,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=O)N)OC4=CC=C(C=C4)F,Unspecified,,,,100,IC50,>,100000,nM,
23,103722790,46228780,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=N)N)OC4=CC=C(C=C4)F,Unspecified,,,,48,IC50,=,48000,nM,
24,103722791,46228781,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)C4=CC=C(C=C4)OC5=CC=C(C=C5)F,Unspecified,,,,40,IC50,=,40000,nM,
25,103722792,46228782,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C(=O)N,Unspecified,,,,100,IC50,>,100000,nM,
26,103722793,46228783,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C(=N)N,Unspecified,,,,100,IC50,>,100000,nM,
27,103722794,46228784,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC4=C(N3)C=C(C=C4)C5=NCCN5,Unspecified,,,,61,IC50,=,61000,nM,
28,103722920,46228836,C1=CC(=CC=C1C2=NC3=C(S2)C=C(C=C3)C(=O)N)OC4=CC=C(C=C4)F,Unspecified,,,,100,IC50,>,100000,nM,
29,103722921,46228837,C1CN=C(N1)C2=CC3=C(C=C2)N=C(S3)C4=CC=C(C=C4)OC5=CC=C(C=C5)NCCN,Unspecified,,,,100,IC50,>,100000,nM,
