PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103293149,71166,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N,Unspecified,,,,31,IC50,=,31000,nM,
2,103293419,15133398,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=CC=CC=C3)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,194138724,73056771,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CC3=CC=CC=C3Cl)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
4,194138725,59079459,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC=C(C=C3)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,194138726,73055603,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC=C(C=C3)F)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,194138727,73055607,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NCC3=CC=CC=C3OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
7,194138728,73055303,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=CC=CC=C3OC(=O)C4=CC=CC=C4)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
8,194138729,73056474,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=C(C=CC(=C3)Cl)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
9,194138732,73054452,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=CC(=C3)C(=O)C4=CC=CC=C4)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
10,194138733,73054453,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CN=CC=C3)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,194138734,73054735,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
12,194145674,73056772,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCCC3=CC=CC=C3OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
13,194145675,73056775,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=C(C=CS3)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
14,194145676,73055606,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NCC3=CC=CC=C3Cl)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
15,194145677,73055014,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=CC(=C3)C4=CC=C(C=C4)N(C)C)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
16,194145678,73055015,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)/C=C/C3=CC=C(C=C3)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
17,194145679,73055907,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=CC(=C3)C4=CC5=CC=CC=C5N=C4)N,Unspecified,,,,100,IC50,>,100000,nM,
18,194145680,73056180,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=CC(=C3)C4=C5C=CC=NC5=CC=C4)N,Unspecified,,,,65,IC50,=,65000,nM,
19,194145681,73055300,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=CC(=CC=C3)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
20,194145682,73055302,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=C(C(=CC=C3)OC)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
21,194145683,73055304,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=CC=CC=C3Cl)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
22,194145684,73054731,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC4=CC=CC=C4C=N3)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
23,194145685,73055013,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=C(C=C3)C4=CC5=C(C=C4)N=CC=C5)N,Unspecified,,,,100,IC50,>,100000,nM,
24,194152517,73056774,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=C(C=CN=C3)OC)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
25,194152518,73055305,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C3)OCO4)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
26,194152519,73055605,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC=C(C=C3)C(=O)C4=CC=CC=C4)N,Unspecified,,,,100,IC50,>,100000,nM,
27,194152520,234080,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CC3=CC=CC=C3)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
28,194152521,73055017,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CC3=CC4=C(C=C3)OCO4)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
29,194152522,73055018,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)CCC3=CC=CC=C3OC)N,Unspecified,,,,100,IC50,>,100000,nM,
30,194152523,73055903,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)C3=CC=C(C=C3)C4=CN=CC5=CC=CC=C54)N,Unspecified,,,,100,IC50,>,100000,nM,
31,194152524,73056182,CC1=CC=CC=C1CCC(=O)NC2=CC3=C(C=C(N=C3C=C2)C)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
