PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103526150,2272467,C=CCN1C(=O)/C(=C/C2=CC=C(O2)C3=CC=CC=C3)/SC1=S,Unspecified,,,,27,IC50,=,27000,nM,
2,103721368,12351836,C1CCC(CC1)N2C(=O)C(=C(C=N2)Cl)Cl,Unspecified,,,,14,IC50,=,14000,nM,
3,103721389,5725131,C1=CC(=CC=C1N2C(=O)/C(=C/C3=C(C(=CC(=C3)[N+](=O)[O-])Br)O)/SC2=S)[N+](=O)[O-],Unspecified,,,,20,IC50,=,20000,nM,
4,103721391,44246281,CCOC1=C(C=NN(C1=O)C2=CC(=CC=C2)F)S,Active,,,,1.8,IC50,=,1800,nM,
5,103721392,44246282,CCOC1=C(C=NN(C1=O)C2=CC=CC(=C2)C)S,Active,,,,1.7,IC50,=,1700,nM,
6,103721393,44246283,CCOC1=C(C=NN(C1=O)C2=CC(=CC(=C2)Cl)Cl)S,Unspecified,,,,14,IC50,=,14000,nM,
7,103721406,44246284,CCOC1=C(C=NN(C1=O)C2CCCCC2)S,Active,,,,1.4,IC50,=,1400,nM,
8,103721407,46228085,CCOC1=C(C=NN(C1=O)C2=CC=CC=C2)SS,Active,,,,1.2,IC50,=,1200,nM,
9,103721408,44246286,CCOC1=CNN(C(=O)C1=S)C2=CC=CC=C2,Active,,,,1.2,IC50,=,1200,nM,
10,103721409,44246287,CCOC1=CNN(C(=O)C1=S)C2=CC(=CC=C2)F,Active,,,,0.9,IC50,=,900,nM,
11,103721423,44246289,CCOC1=CNN(C(=O)C1=S)C2=CC(=CC(=C2)Cl)Cl,Active,,,,5.2,IC50,=,5200,nM,
12,103721456,2252351,CN1C(=O)/C(=C/C2=C(C(=CC(=C2)[N+](=O)[O-])Br)O)/SC1=S,Unspecified,,,,13,IC50,=,13000,nM,
13,103721458,44246277,CCCN1C(=O)/C(=C/C2=CC=C(O2)C3=CC=CC=C3)/SC1=S,Unspecified,,,,53,IC50,=,53000,nM,
14,103721515,248680,CCOC1=C(C(=O)N(N=C1)C2=CC=CC=C2)Cl,Active,,,,0.3,IC50,=,300,nM,
15,103721549,2145944,CCN1C(=O)/C(=C/C2=CC=C(O2)C3=CC=CC=C3[N+](=O)[O-])/SC1=S,Unspecified,,,,74,IC50,=,74000,nM,
16,103721550,44246299,CCOC1=C(C(=O)N(N=C1)C2=CC=C(C=C2)[N+](=O)[O-])Cl,Unspecified,,,,247,IC50,=,247000,nM,Outside typical range
17,103721562,757809,CCOC1=C(C=NN(C1=O)C2=CC=CC=C2)S,Active,,,,1.4,IC50,=,1400,nM,
18,103721589,755081,COC1=CNN(C(=O)C1=S)C2=CC=CC=C2,Active,,,,1.8,IC50,=,1800,nM,
19,103721590,54694030,C1=CC=C(C=C1)COC2=C(C=NN(C2=O)C3=CC=CC=C3)O,Unspecified,,,,50,IC50,>,50000,nM,
20,103721591,54686949,COC1=C(C=NN(C1=O)C2=CC=CC=C2)O,Unspecified,,,,50,IC50,>,50000,nM,
21,103721596,135432677,CC1=C(C(=S)N(N1)C2=CC=CC=C2)/C=N/C3=CC=CC=N3,Active,,,,1.4,IC50,=,1400,nM,
22,103721600,54690615,CCSC1=C(C=NN(C1=O)C2=CC=CC=C2)O,Unspecified,,,,50,IC50,>,50000,nM,
23,103721602,44246279,CCOC1=C(C=NN(C1=O)C2=CC=C(C=C2)[N+](=O)[O-])S,Active,,,,6.7,IC50,=,6700,nM,
