PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103168984,60961,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
2,103171721,6245,C1=CN(C2=NC=NC(=C21)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
3,103197668,2724387,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=S)N,Active,,,,4,IC50,=,4000,nM,,
4,103197669,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Active,,,,2,IC50,=,2000,nM,,
5,103251128,6477178,C1=CC=C(C=C1)CSC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Unspecified,,,,1040,IC50,=,1.04e+06,nM,,Outside typical range
6,103260069,71080,C[C@H](C(=O)O)N,Unspecified,,,,20,IC50,=,20000,nM,,
7,103267312,707035,C1=CC=C2C(=C1)NC(=S)N2,Inactive,,,Potential missing data,,IC50,,,,Not Active,
8,103268203,23539,CSC1=NC2=CC=CC=C2N1,Inactive,,,Potential missing data,,IC50,,,,Not Active,
9,103394696,1269845,C1=CNC(=S)NC1=O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
10,103465724,102175,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
11,103503926,667490,C1=NC2=C(N1)C(=S)N=CN2,Unspecified,,,,400,IC50,=,400000,nM,,Outside typical range
12,103504490,135398740,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
13,103510778,135398635,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
14,103517683,5360349,C1=NC2=C(N1)C(=NC(=N2)N)Cl,Unspecified,,,,200,IC50,=,200000,nM,,Outside typical range
15,103523527,62389,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,Inactive,,,Potential missing data,,IC50,,,,Not Active,
16,103525156,93003,C1=NC2=C(C(=N1)Cl)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
17,103525159,9570,CSC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
18,103525161,102197,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N=C2Cl)N,Unspecified,,,,190,IC50,=,190000,nM,,Outside typical range
19,103533730,135401907,C1=NNC2=C1C(=O)NC=N2,Inactive,,,Potential missing data,,IC50,,,,Not Active,
20,103564522,72200,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
21,103564523,64959,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
22,103564571,96312,COC1=NC(=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
23,103589371,676166,C1=NC(=S)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Unspecified,,,,40,IC50,=,40000,nM,,
24,103590441,24405,CC(=CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C,Inactive,,,Potential missing data,,IC50,,,,Not Active,
25,103594953,96851,C1=NC(=C2C(=N1)N(C(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
26,104239347,135804808,C1=NN(C2=C1C(=O)NC=N2)[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O,Unspecified,,,,650,IC50,=,650000,nM,,Outside typical range
27,104246043,440004,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
28,104251690,2723698,C1=CC(=S)NC=C1,Inactive,,,Potential missing data,,IC50,,,,Not Active,
29,124955702,68368,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
30,124960275,928063,CCN(CC)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
31,124960276,135926583,CN1C=[N+](C2=C1C(=O)NC=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
32,124960372,53318804,CC(=O)N1CCN(CC1)C2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
33,124962879,2723621,C1=C(NC(=NC1=S)N)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
34,124962880,44776464,CCOC(=O)C1CCCN(C1)C2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
35,124962881,74858,C1=NC2=NC=NC(=C2N1)C#N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
36,124963351,7075697,C1CCN(CC1)C2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
37,124965508,2723889,C1=CNC=CC1=S,Inactive,,,Potential missing data,,IC50,,,,Not Active,
38,124965509,65085,C1=NC2=C(NC(=O)N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
39,124965595,14377198,C1=C(NC(=S)NC1=S)S,Inactive,,,Potential missing data,,IC50,,,,Not Active,
40,124968194,1550489,C1=CNC(=S)N=C1,Inactive,,,Potential missing data,,IC50,,,,Not Active,
