PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103359494,62999,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.Cl,Active,,,,0.1,MIC,=,100,nM,
2,103721618,46228167,COC1=C2C3=CC=CC=C3N(C2=C4C(=C1C#N)C5=CC=CC=C5N4)CC6=CC=CC=C6,Unspecified,,,,200,MIC,>,200000,nM,
3,103721619,10266634,C1=CC=C2C(=C1)C3=C(C(=C4C5=CC=CC=C5NC4=C3N2)O)C#N,Active,,,,1.6,MIC,=,1600,nM,
4,103721633,10403187,CN1C2=CC=CC=C2C3=C(C(=C4C5=CC=CC=C5NC4=C31)C#N)O,Active,,,,6.3,MIC,=,6300,nM,
5,103721634,45257224,C1=CC=C(C=C1)CN2C3=CC=CC=C3C4=C(C(=C5C6=CC=CC=C6NC5=C42)C#N)O,Active,,,,1.6,MIC,=,1600,nM,
6,103721666,11724766,CN1C2=CC=CC=C2C3=C(C(=C4C5=CC=CC=C5N(C4=C31)C)OC)C#N,Unspecified,,,,200,MIC,>,200000,nM,
7,103721667,46228198,CN1C2=CC=CC=C2C3=C(C(=C4C5=CC=CC=C5NC4=C31)OC)C#N,Unspecified,,,,200,MIC,>,200000,nM,
8,103721688,46228207,CN1C2=CC=CC=C2C3=C(C(=C4C5=CC=CC=C5NC4=C31)C(=O)N)OC,Inconclusive,,,Potential missing data,,MIC,,,,Not Determined
9,103721804,131448,COC1=C2C3=CC=CC=C3NC2=C4C(=C1C#N)C5=CC=CC=C5N4,Active,,,,6.3,MIC,=,6300,nM,
10,103721813,131447,CN1C2=CC=CC=C2C3=C(C(=C4C5=CC=CC=C5NC4=C31)C#N)OC,Unspecified,,,,200,MIC,>,200000,nM,
11,123092436,44259,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,Unspecified,,,,128,MIC,=,128000,nM,
