PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103507123,44419569,C[C@@]1(CC[C@H]2[C@@]3([C@@]1([C@@H]4[C@@H](O4)C(C5=C3C6=C(C2(C)C)C=CC=C6N5)(C)C)C#N)O)C=C,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
2,103680636,21610114,C[C@@]1(CC[C@H]2[C@]([C@H]1[N+]#[C-])(C3=C(NC4=CC=CC(=C43)C2(C)C)C(C)(C)C=C)O)C=C,Unspecified,,,,78.3,IC50,=,78300,nM,
3,103682361,21610116,C[C@@]1([C@@H](C[C@H]2[C@@]3([C@@]1([C@@H]4[C@@H](O4)C(C5=C3C6=C(C2(C)C)C=CC=C6N5)(C)C)[N+]#[C-])O)Cl)C=C,Unspecified,,,,42.6,IC50,=,42600,nM,
4,103682368,21671525,C[C@@]1(CC[C@@H]2[C@@H]([C@H]1[N+]#[C-])C3=CNC4=CC=CC(=C43)C2(C)C)C=C,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
5,103682461,44139370,C[C@@]1(CC[C@H]2[C@@]3([C@@]1(C[C@H](C(C4=C3C5=C(C2(C)C)C=CC=C5N4)(C)C)O)[N+]#[C-])O)C=C,Unspecified,,,,118.4,IC50,=,118400,nM,Outside typical range
6,103684078,21610117,C[C@@]1([C@@H](C[C@H]2[C@@]3([C@@]1([C@H]([C@@H](C(C4=C3C5=C(C2(C)C)C=CC=C5N4)(C)C)O)O)[N+]#[C-])O)Cl)C=C,Unspecified,,,,57.9,IC50,=,57900,nM,
7,103685813,21610112,C[C@@]1([C@@H](C[C@H]2[C@H]([C@H]1[N+]#[C-])C3=C(NC4=CC=CC(=C43)C2(C)C)C(C)(C)C=C)Cl)C=C,Unspecified,,,,26,IC50,=,26000,nM,
8,103685818,11067734,C[C@@]1([C@@H](C[C@H]2[C@H]([C@H]1[N+]#[C-])C3=CNC4=CC=CC(=C43)C2(C)C)Cl)C=C,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
9,103685910,44139369,C[C@@]1([C@@H](C[C@H]2[C@@]3([C@@]1(C[C@H](C(C4=C3C5=C(C2(C)C)C=CC=C5N4)(C)C)O)[N+]#[C-])O)Cl)C=C,Unspecified,,,,79.8,IC50,=,79800,nM,
10,103687641,21610113,C[C@@]1([C@@H](C[C@H]2[C@]([C@H]1[N+]#[C-])(C3=C(NC4=CC=CC(=C43)C2(C)C)C(C)(C)C=C)O)Cl)C=C,Unspecified,,,,58.6,IC50,=,58600,nM,
11,103689394,44139241,C[C@@]1(CC[C@H]2[C@@]3([C@@]1(C=CC(C4=C3C5=C(C2(C)C)C=CC=C5N4)(C)C)[N+]#[C-])O)C=C,Unspecified,,,,44.6,IC50,=,44600,nM,
12,103691160,44139368,C[C@@]1([C@@H](C[C@H]2[C@@]3([C@@]1(C=CC(C4=C3C5=C(C2(C)C)C=CC=C5N4)(C)C)[N+]#[C-])O)Cl)C=C,Unspecified,,,,53.2,IC50,=,53200,nM,
13,103691168,44139367,C[C@@]1([C@@H](C[C@H]2[C@@]3([C@@]1([C@@H](C(=O)C(C4=C3C5=C(C2(C)C)C=CC=C5N4)(C)C)O)[N+]#[C-])O)Cl)C=C,Unspecified,,,,80.7,IC50,=,80700,nM,
14,136926966,135398735,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,Unspecified,,,,97.9,IC50,=,97900,nM,
