PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103723495,1550750,CCN1C(=O)/C(=C/C2=CC=C(C=C2)OC)/SC1=S,Unspecified,,,,100,IC50,>,100000,nM,
2,124974723,1391106,CCOC1=C(C=CC(=C1)/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)F)O,Unspecified,,,,41,IC50,=,41000,nM,
3,136927772,57393984,C1=CC(=C(C(=C1)O)O)/C=C/2\C(=O)N(C(=S)S2)CC3=CC=CO3,Unspecified,,,,100,IC50,>,100000,nM,
4,242645869,1309822,CC1=C(C=CC(=C1)Cl)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CC(=O)O,Unspecified,,,,260,IC50,=,260000,nM,Outside typical range
5,242645872,1367267,C1=CC(=C(C=C1Cl)Cl)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CCC(=O)O,Active,,,,2.1,IC50,=,2100,nM,
6,242645873,5890567,CC1=CC(=C(C=C1)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CCCC(=O)O)[N+](=O)[O-],Unspecified,,,,100,IC50,>,100000,nM,
7,242645874,1589306,C1=CC(=C(C=C1Cl)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CCCCCC(=O)O)Cl,Unspecified,,,,100,IC50,>,100000,nM,
8,242645875,2252630,CN1C(=O)/C(=C/C2=CC=C(O2)C3=C(C=CC(=C3)Cl)Cl)/SC1=S,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
9,242645876,1201112,C1=CC(=CC=C1/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)C(=O)O)Br,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
10,242645877,1208664,CC(=O)C1=CC=C(C=C1)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)C4=CC=CC=C4,Unspecified,,,,85,IC50,=,85000,nM,
11,242645878,2288140,CCOC1=C(C=CC(=C1)/C=C\2/C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)OC(=O)C4=CC=CS4,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
12,242645879,50987670,CC1=CC(=O)/C(=C\N2C(=O)/C(=C/C3=CC(=CC=C3)O)/SC2=S)/C(=O)O1,Unspecified,,,,100,IC50,>,100000,nM,
13,242645880,1536941,COC1=CC=CC(=C1OC)/C=C\2/C(=O)N(C(=S)S2)CC3=CC=CO3,Unspecified,,,,100,IC50,>,100000,nM,
14,242645881,1549389,C1=COC(=C1)CN2C(=O)/C(=C/C3=C(C=C(C=C3)Cl)Cl)/SC2=S,Unspecified,,,,100,IC50,>,100000,nM,
15,242645882,1549566,CCN1C(=O)/C(=C/C2=CC=C(C=C2)OCC(=O)O)/SC1=S,Unspecified,,,,100,IC50,>,100000,nM,
16,242645883,1373005,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)CC3=CC=CO3,Unspecified,,,,100,IC50,>,100000,nM,
17,242645884,90680767,CCOC1=CC=CC(=C1O)/C=C\2/C(=O)N(C(=S)S2)CC3=CC=CO3,Unspecified,,,,100,IC50,>,100000,nM,
