PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103324253,5377323,C1=CC=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,51,IC50,=,51000,nM,
2,103526150,2272467,C=CCN1C(=O)/C(=C/C2=CC=C(O2)C3=CC=CC=C3)/SC1=S,Unspecified,,,,199,IC50,=,199000,nM,Outside typical range
3,103721367,2252216,C1=CC(=CC(=C1)Cl)N2C(=O)/C(=C/C3=C(C(=CC(=C3)[N+](=O)[O-])Br)O)/SC2=S,Unspecified,,,,17,IC50,=,17000,nM,
4,103721368,12351836,C1CCC(CC1)N2C(=O)C(=C(C=N2)Cl)Cl,Unspecified,,,,50,IC50,>,50000,nM,
5,103721369,3696342,CC1=C(C(=S)N(N1)C2=CC=CC=C2)C=NC3=CC=C(C=C3)[N+](=O)[O-],Active,,,,5.2,IC50,=,5200,nM,
6,103721380,44246280,CCOC1=C(C=NN(C1=O)C2=CC(=CC=C2)Br)S,Unspecified,,,,50,IC50,>,50000,nM,
