PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,381839011,137633040,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,381843195,137635814,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC7=CC=CC=C7,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,381847784,16130642,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Active,,,,1.059,IC50,=,1059,nM,
4,381847784,16130642,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
5,381851439,137641350,C1[C@H]2C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CSS1)C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N2)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CNC8=CC=CC=C87)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC3=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC9=CNC1=CC=CC=C19)CC1=CNC2=CC=CC=C21,Active,,,,0.25,IC50,=,250,nM,
6,381851439,137641350,C1[C@H]2C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CSS1)C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N2)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CNC8=CC=CC=C87)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC3=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC9=CNC1=CC=CC=C19)CC1=CNC2=CC=CC=C21,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
7,381858240,137645962,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC7=CNC8=CC=CC=C87)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC9=CC=CC=C9,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
