PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103604588,25023874,CC(C)CCCC(C)CCOC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,620,ED50,=,620,uM,
2,440109255,155510356,CC(C)CCCC(C)CCOC1=C[N+](=CC=C1)CC(O)(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,1100,ED50,=,1100,uM,
3,440109879,155510599,CC(C)CCCC(C)CCOC1=CC=[N+](C=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,1000,ED50,>=,1000,uM,
4,440155962,155539992,CC(C)CCCC(C)CCCC1=NC(=CC=C1)NCC(P(=O)(O)O)P(=O)(O)O,Unspecified,,,,1100,ED50,=,1100,uM,
5,440156377,155540169,CC(C)CCCC(C)C1=CN=C(S1)NCC(P(=O)(O)O)P(=O)(O)O,Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
6,440157880,155540874,CC(C)CCCC(C)CCOC1=CC(=NC=C1)NCC(P(=O)(O)O)P(=O)(O)O,Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
7,440158094,155540956,CCCCCCCCCCCCCC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,48,ED50,=,48,uM,
8,440161068,155542175,CC(C)CCCC(C)CCCC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,460,ED50,=,460,uM,
9,440166327,155544285,CC(C)CCCC(C)CCCN1C=C[N+](=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,440,ED50,=,440,uM,
10,440167197,155544647,CC(C)CCCC(C)CCCC(C)CCOC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
11,440168544,155545160,CC(C)CCCC(C)CCSC1=CC=[N+](C=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,1000,ED50,=,1000,uM,
12,440175498,155547938,CC(C)CCCC(C)CCC1=CN=C(S1)NCC(P(=O)(O)O)P(=O)(O)O,Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
13,440176588,155548374,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
14,440184743,155551662,C1=CC(=C(C=C1CCCN2C=C[N+](=C2)CC(P(=O)(O)O)P(=O)(O)[O-])F)F,Unspecified,,,,600,ED50,=,600,uM,
15,440187905,155552918,CC(C)CCCC(C)CCOC1=CC(=NC=C1)NC(P(=O)(O)O)P(=O)(O)O,Unspecified,,,,1300,ED50,=,1300,uM,
16,440188275,155553056,CCCCCCCCCCCC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,220,ED50,=,220,uM,
17,440189141,155553387,CC(C)CCCC(C)CCOC1=NC=CC(=C1)NCC(P(=O)(O)O)P(=O)(O)O,Unspecified,,,,1200,ED50,=,1200,uM,
18,440196361,155556240,CC(C)CCCC(C)CCNC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,440,ED50,=,440,uM,
19,440206219,155560164,CC(C)CCCC(C)CCN1C=C[N+](=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,420,ED50,=,420,uM,
20,440207656,155560754,CC(C)CCCC(C)CCSC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,510,ED50,=,510,uM,
21,440207678,132014663,C1=CSC(=N1)NCC(P(=O)(O)O)P(=O)(O)O,Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
22,440212245,155562529,CC(C)CCCC(C)CCC1=CSC(=N1)NCC(P(=O)(O)O)P(=O)(O)O,Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
23,440213399,155562995,CC(C)CCOC1=C[N+](=CC=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
24,440215252,155563757,CC(C)CCCC(C)CCCC1=CC=[N+](C=C1)CC(P(=O)(O)O)P(=O)(O)[O-],Unspecified,,,,700,ED50,=,700,uM,
25,440226908,155568321,CC(C)CCCC(C)CCOC1=CC=CC(=N1)NCC(P(=O)(O)O)P(=O)(O)O,Inconclusive,,,Potential missing data,,ED50,,,,Not Determined
