PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,104246424,18909,C1=C(C(=CC(=C1Cl)Cl)O)O,Unspecified,,,,182,Kd,=,182000,nM,
2,104247104,161500,C1=C(N(C=N1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N,Unspecified,,,,283,Kd,=,283000,nM,
3,336880344,893488,CCOC1=C(C=C(C(=C1)CO)Br)OC,Unspecified,,,,367,Kd,=,367000,nM,
4,336883201,17190902,CC1=CN=C(S1)NC(=O)C2=C(OC=C2)C,Unspecified,,,,39.6,Kd,=,39600,nM,
5,336883202,4797200,CC1=CC(=NO1)C(=O)NC2=CC(=CC=C2)F,Unspecified,,,,95.4,Kd,=,95400,nM,
6,336883203,23009451,CC1=CC=C(C=C1)C(C2=CC=NC=C2)N,Inactive,,,Potential missing data,,Kd,,,,Not Active
7,336883204,970600,CCOC1=CC=CC=C1C(=S)N2CCOCC2,Unspecified,,,,61.6,Kd,=,61600,nM,
8,336883227,127036208,CC1=CC=C(C=C1)C(=S)C2=NN=NS2,Unspecified,,,,81.3,Kd,=,81300,nM,
9,336883228,914984,C1CN(C2=CC=CC=C21)C(=S)N,Unspecified,,,,35.7,Kd,=,35700,nM,
10,336883229,14023166,C1=CC=C(C=C1)C2=NN=C3N2N=C(S3)N,Unspecified,,,,604,Kd,=,604000,nM,
11,336883230,25220799,C1=CC=C(C(=C1)C2=CC(=NO2)CN)Cl,Unspecified,,,,402,Kd,=,402000,nM,
12,336883711,17217990,CCC1=CC=C(S1)C(=O)NC2=NN=CS2,Unspecified,,,,19.8,Kd,=,19800,nM,
13,336884122,2756469,COC1=CC=C(C=C1)C2=CC(=NN2)N,Unspecified,,,,214,Kd,=,214000,nM,
14,336886467,599939,COC1=CC2=CC(=CN=C2C=C1)N,Unspecified,,,,73.8,Kd,=,73800,nM,
