PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,160669576,57149571,C1=CC=C(C=C1)OC2=CC=CC(=C2)CCCNC(=O)/C=C(/C(=O)O)\O,Active,,,,1.6,IC50,=,1600,nM,
2,160669577,70682284,CCCCCCCCOC1=CC=C(C=C1)/C(=C/C(=O)C(=O)O)/O,Active,,,,2,IC50,=,2000,nM,
3,160691054,70690694,CCCCCCOC1=CC=CC(=C1)CCCNC(=O)/C=C(/C(=O)O)\O,Active,,,,0.75,IC50,=,750,nM,
4,160691055,57336498,CCCCCCOC1=CC=CC(=C1)CN2C=CC(=C(C2=O)C(=O)O)O,Active,,,,8.2,IC50,=,8200,nM,
5,160691056,70690695,CCCCCCCCCCOC1=CC=CC(=C1)CN2C=CC(=C(C2=O)C(=O)O)O,Unspecified,,,,300,IC50,>,300000,nM,Outside typical range
6,160701786,70694869,C1=CC=C(C=C1)C2=CC=CC(=C2)CCCNC(=O)/C=C(/C(=O)O)\O,Active,,,,1.8,IC50,=,1800,nM,
7,160707056,70696924,CCCCCCCCCCOC1=CC=CC(=C1)/C(=C/C(=O)C(=O)O)/O,Active,,,,0.73,IC50,=,730,nM,
