PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,381837217,137631861,C[C@H]([C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]2CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N3)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)C(C)C)CC(C)C)NC(=O)[C@@H](NC2=O)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CC=CC=C7)CCCNC(=N)N)O,Active,,,,0.205,IC50,=,205,nM,
2,381837217,137631861,C[C@H]([C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]2CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N3)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)C(C)C)CC(C)C)NC(=O)[C@@H](NC2=O)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CC=CC=C7)CCCNC(=N)N)O,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
3,381839011,137633040,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4)C(C)C)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC5=CC=CC=C5,Active,,,,0.262,IC50,=,262,nM,
4,381843195,137635814,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC7=CC=CC=C7,Active,,,,0.197,IC50,=,197,nM,
5,381843195,137635814,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4)CC5=CNC6=CC=CC=C65)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC3=O)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)O)CCCNC(=N)N)CC7=CC=CC=C7,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
6,381847392,137638628,C[C@H]([C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]2CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N3)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CNC8=CC=CC=C87)NC(=O)[C@@H](NC2=O)CCCNC(=N)N)CC9=CNC1=CC=CC=C19)CC1=CNC2=CC=CC=C21)CCCNC(=N)N)O,Active,,,,0.083,IC50,=,83,nM,
7,381847392,137638628,C[C@H]([C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]2CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N3)CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC5=CNC6=CC=CC=C65)CC7=CNC8=CC=CC=C87)NC(=O)[C@@H](NC2=O)CCCNC(=N)N)CC9=CNC1=CC=CC=C19)CC1=CNC2=CC=CC=C21)CCCNC(=N)N)O,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
