PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103680707,45267084,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4CCCC4)CC5=CN=C(N=C5N)N,Active,,,,0.2,IC50,=,200,nM,
2,103682414,45267934,CCCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)O)OC,Active,,,,0.054,IC50,=,54,nM,
3,103682421,45267939,CCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Active,,,,0.096,IC50,=,96,nM,
4,103684117,45268817,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=CC=C4)CC5=CN=C(N=C5N)N,Active,,,,0.046,IC50,=,46,nM,
5,103685872,45269661,CCCCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Active,,,,0.17,IC50,=,170,nM,
6,103685880,45269665,COC1=CC(=CC(=C1O)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=C(C=C4)CO)CC5=CN=C(N=C5N)N,Active,,,,0.069,IC50,=,69,nM,
7,103687683,45270497,CC1C2=CC=CC=C2C=NN1C(=O)CCC3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Active,,,,0.092,IC50,=,92,nM,
8,103687695,45270501,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4CCCCC4)CC5=CN=C(N=C5N)N,Active,,,,0.26,IC50,=,260,nM,
9,103687701,45270504,COC1=CC(=CC(=C1OCCN2CCOCC2)/C=C/C(=O)N3C(C4=CC=CC=C4C=N3)C5=CC=CC=C5)CC6=CN=C(N=C6N)N,Active,,,,0.17,IC50,=,170,nM,
10,103689369,45271328,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)CCCO)CC4=CN=C(N=C4N)N,Active,,,,0.12,IC50,=,120,nM,
11,103689371,45271331,CC1=CC=C(C=C1)C2C3=CC=CC=C3C=NN2C(=O)/C=C/C4=C(C(=CC(=C4)CC5=CN=C(N=C5N)N)OC)OC,Active,,,,0.15,IC50,=,150,nM,
12,103689372,45271332,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CN=C(N=C4OC)OC)CC5=CN=C(N=C5N)N,Active,,,,0.6,IC50,=,600,nM,
13,103691111,45272213,CC(C)(C1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC)C(=O)OC,Active,,,,0.3,IC50,=,300,nM,
14,103692920,17897164,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2CC3=CC=CC=C3C=N2)CC4=CN=C(N=C4N)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
15,103692936,45273072,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=C(C=C4)CO)CC5=CN=C(N=C5N)N,Active,,,,0.097,IC50,=,97,nM,
16,103692937,45273073,CN(C)CC1=CC=CC=C1C2C3=CC=CC=C3C=NN2C(=O)/C=C/C4=C(C(=CC(=C4)CC5=CN=C(N=C5N)N)OC)OC,Active,,,,0.4,IC50,=,400,nM,
