PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103479750,6539679,CC1=C(C=CC(=C1)S(=O)(=O)N[C@H](C)C(=O)NO)F,Active,,,,1.6,IC50,=,1600,nM,
2,318398048,92044070,CC1=C(C=CC(=C1)S(=O)(=O)N(C)[C@H](C)C(=O)NO)F,Unspecified,,,,37,IC50,=,37000,nM,
3,318398049,122196479,CC1=C(C=CC(=C1)S(=O)(=O)N(CC2=CC(=CC(=C2)F)F)[C@H](C)C(=O)NO)F,Unspecified,,,,26,IC50,=,26000,nM,
4,318398050,122196480,CC1=C(C=CC(=C1)S(=O)(=O)N(CC2=CC=C(C=C2)F)[C@H](C)C(=O)NO)F,Unspecified,,,,29,IC50,=,29000,nM,
5,318398051,122196481,CC1=C(C=CC(=C1)S(=O)(=O)N(CC2=CC=CC=C2F)[C@H](C)C(=O)NO)F,Unspecified,,,,33,IC50,=,33000,nM,
