PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,174486472,16879825,CC1=NOC(=C1)C(=O)NC2=NC3=C(S2)C4=C(C=C3)N=C(S4)SC,Unspecified,,,,50,IC50,>,50000,nM,
2,174486473,71654703,CN1CCN(CC1)C2=NC3=C(S2)C4=C(C=C3)N=C(S4)NC(=O)C5=CC(=C(C(=C5)OC)OC)OC,Active,,,,0.2,IC50,=,200,nM,
3,174486474,4600585,CSC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)C4=CC=CC=C4Cl,Unspecified,,,,100,IC50,>,100000,nM,
4,174491466,3600650,COC1=C(C=C(C=C1)C(=O)NC2=NC3=C(S2)C4=C(C=C3)N=C(S4)SC)OC,Active,,,,2.1,IC50,=,2100,nM,
5,174491467,4080823,CSC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)CN4C(=O)CCC4=O,Unspecified,,,,100,IC50,>,100000,nM,
