"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL4276737";"";"";"Small molecule";"";"295.42";"10";"19";"2.47";"38.77";"4";"0";"0";"4";"N";"0.75";"0";"MOL";"-1";"21";"0.49";"C17H29NO3";"CC1(C)[C@H]2CC[C@]1(C)[C@H](OC(=O)CCN1CCOCC1)C2";"HCUUOJPNLZSIOE-JJRVBVJISA-N";"InChI=1S/C17H29NO3/c1-16(2)13-4-6-17(16,3)14(12-13)21-15(19)5-7-18-8-10-20-11-9-18/h13-14H,4-12H2,1-3H3/t13-,14+,17+/m0/s1";"False";"-1";"['5b', '16', 'Fig 2, cpd 1', '8', '4', '84']";"['(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '[(1S,2R,4S)-1,7,7-trimethylnorbornan-2-yl]-3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(morpholin-4-yl)propanoate']"
"CHEMBL4634276";"";"";"Unknown";"";"428.91";"6";"15";"6.19";"32.34";"3";"1";"1";"5";"N";"0.58";"2";"MOL";"-1";"28";"-1.82";"C20H20ClF3N2OS";"O=C(Nc1ccc(SC(F)(F)F)c(Cl)c1)c1ccc(CN2CCCCC2)cc1";"WPWIBAJORWQXGH-UHFFFAOYSA-N";"InChI=1S/C20H20ClF3N2OS/c21-17-12-16(8-9-18(17)28-20(22,23)24)25-19(27)15-6-4-14(5-7-15)13-26-10-2-1-3-11-26/h4-9,12H,1-3,10-11,13H2,(H,25,27)";"False";"-1";"['20']";"['N-(3-Chloro-4-((trifluoromethyl)thio)phenyl)-4-(piperidin-1-ylmethyl)benzamide']"
"CHEMBL4633085";"";"";"Unknown";"";"390.57";"6";"15";"6.02";"23.55";"2";"0";"1";"3";"N";"0.64";"2";"MOL";"-1";"29";"-0.91";"C26H34N2O";"CC(c1ccc(C(=O)N2CC(C(C)(C)C)c3ccccc32)cc1)N1CCCCC1";"BXHYTOCNWCVUKA-UHFFFAOYSA-N";"InChI=1S/C26H34N2O/c1-19(27-16-8-5-9-17-27)20-12-14-21(15-13-20)25(29)28-18-23(26(2,3)4)22-10-6-7-11-24(22)28/h6-7,10-15,19,23H,5,8-9,16-18H2,1-4H3";"False";"-1";"['50']";"['(3-(tert-Butyl)indolin-1-yl)(4-(1-(piperidin-1-yl)ethyl)phenyl)methanone']"
"CHEMBL4645609";"";"";"Unknown";"";"390.57";"6";"15";"6.53";"32.34";"2";"1";"1";"5";"N";"0.63";"2";"MOL";"-1";"29";"-1.09";"C26H34N2O";"CC(c1ccc(C(=O)Nc2ccc(C3CCCCC3)cc2)cc1)N1CCCCC1";"APXWDUYXDRSGGN-UHFFFAOYSA-N";"InChI=1S/C26H34N2O/c1-20(28-18-6-3-7-19-28)21-10-12-24(13-11-21)26(29)27-25-16-14-23(15-17-25)22-8-4-2-5-9-22/h10-17,20,22H,2-9,18-19H2,1H3,(H,27,29)";"False";"-1";"['27']";"['N-(4-Cyclohexylphenyl)-4-(1-(piperidin-1-yl)ethyl)benzamide']"
"CHEMBL5194705";"";"";"";"";"577.43";"4";"5";"5.23";"78.77";"8";"1";"2";"7";"N";"0.18";"4";"MOL";"-1";"35";"-1.72";"C26H24IN7O";"Ic1cccc(/C=N/Nc2nc(N3CCOCC3)nc(N(c3ccccc3)c3ccccc3)n2)c1";"JMEJTSRAQUFNOP-TURZUDJPSA-N";"InChI=1S/C26H24IN7O/c27-21-9-7-8-20(18-21)19-28-32-24-29-25(33-14-16-35-17-15-33)31-26(30-24)34(22-10-3-1-4-11-22)23-12-5-2-6-13-23/h1-13,18-19H,14-17H2,(H,29,30,31,32)/b28-19+";"False";"-1";"['67', '62', '54']";"['Vacuolin-1', 'Vacuolin-1', 'Vacuolin-1']"
"CHEMBL4448515";"";"";"Unknown";"";"378.35";"11";"37";"5.30";"21.26";"2";"1";"1";"4";"N";"0.77";"1";"MOL";"-1";"23";"-0.57";"C20H28BrNO";"COc1ccc(Br)cc1CNC12CC3CC(C)(CC(C)(C3)C1)C2";"BMSKZYQEVKGOFK-UHFFFAOYSA-N";"InChI=1S/C20H28BrNO/c1-18-7-14-8-19(2,11-18)13-20(9-14,12-18)22-10-15-6-16(21)4-5-17(15)23-3/h4-6,14,22H,7-13H2,1-3H3";"False";"-1";"['3j; DABMA']";"['dimethyl-1-adamantyl(5-bromo-2-methoxybenzyl)amine']"
"CHEMBL5614212";"";"";"";"";"396.87";"4";"5";"4.98";"63.50";"4";"2";"0";"5";"N";"0.64";"3";"MOL";"-1";"28";"-0.92";"C22H21ClN2O3";"O=C(Nc1ccc(Cl)cc1)c1ccc(-c2ccccc2OC2CCNCC2)o1";"ZDEOZCYLTMMABD-UHFFFAOYSA-N";"InChI=1S/C22H21ClN2O3/c23-15-5-7-16(8-6-15)25-22(26)21-10-9-20(28-21)18-3-1-2-4-19(18)27-17-11-13-24-14-12-17/h1-10,17,24H,11-14H2,(H,25,26)";"False";"-1";"['99']";"['N-(4-chlorophenyl)-5-(2-(piperidin-4-yloxy)phenyl)furan-2-carboxamide']"
"CHEMBL4751531";"";"";"Unknown";"";"551.78";"3";"8";"7.20";"44.81";"4";"1";"2";"11";"N";"0.26";"3";"MOL";"-1";"41";"-0.94";"C36H45N3O2";"CC/C(=C(/c1ccc(NC(=O)CC2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1";"WXFBEVAWEMSQCA-JMUUFCRMSA-N";"InChI=1S/C36H45N3O2/c1-3-34(29-9-5-4-6-10-29)36(31-13-17-33(18-14-31)41-26-25-39-21-7-8-22-39)30-11-15-32(16-12-30)37-35(40)27-28-19-23-38(2)24-20-28/h4-6,9-18,28H,3,7-8,19-27H2,1-2H3,(H,37,40)/b36-34+";"False";"-1";"['35']";"['(E)-2-(1-methylpiperidin-4-yl)-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)acetamide']"
"CHEMBL4782391";"";"";"Unknown";"";"523.72";"8";"20";"6.42";"44.81";"4";"1";"2";"10";"N";"0.31";"3";"MOL";"-1";"39";"-1.03";"C34H41N3O2";"CC/C(=C(/c1ccc(NC(=O)C2CCN(C)C2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1";"FJBQHGUWSRWRCM-ULIFNZDWSA-N";"InChI=1S/C34H41N3O2/c1-3-32(26-9-5-4-6-10-26)33(28-13-17-31(18-14-28)39-24-23-37-20-7-8-21-37)27-11-15-30(16-12-27)35-34(38)29-19-22-36(2)25-29/h4-6,9-18,29H,3,7-8,19-25H2,1-2H3,(H,35,38)/b33-32+";"False";"-1";"['32']";"['(E)-1-methyl-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)pyrrolidine-3-carboxamide']"
"CHEMBL4754810";"";"";"Unknown";"";"537.75";"8";"20";"6.81";"44.81";"4";"1";"2";"10";"N";"0.29";"3";"MOL";"-1";"40";"-1.03";"C35H43N3O2";"CC/C(=C(/c1ccc(NC(=O)C2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1";"QZYZQDMZNKXJSA-JEIPZWNWSA-N";"InChI=1S/C35H43N3O2/c1-3-33(27-9-5-4-6-10-27)34(29-13-17-32(18-14-29)40-26-25-38-21-7-8-22-38)28-11-15-31(16-12-28)36-35(39)30-19-23-37(2)24-20-30/h4-6,9-18,30H,3,7-8,19-26H2,1-2H3,(H,36,39)/b34-33+";"False";"-1";"['30']";"['(E)-1-methyl-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)piperidine-4-carboxamide']"
"CHEMBL4638872";"";"";"Unknown";"";"461.53";"6";"16";"5.03";"44.81";"4";"1";"1";"5";"N";"0.68";"2";"MOL";"-1";"33";"-1.70";"C25H30F3N3O2";"CC1CCN(c2ccc(NC(=O)c3ccc(CN4CCOCC4)cc3)cc2C(F)(F)F)CC1";"VVJSZYWIEBDKTC-UHFFFAOYSA-N";"InChI=1S/C25H30F3N3O2/c1-18-8-10-31(11-9-18)23-7-6-21(16-22(23)25(26,27)28)29-24(32)20-4-2-19(3-5-20)17-30-12-14-33-15-13-30/h2-7,16,18H,8-15,17H2,1H3,(H,29,32)";"False";"-1";"['35', '16']";"['N-(4-(4-Methylpiperidin-1-yl)-3-(trifluoromethyl)phenyl)-4-(morpholinomethyl)benzamide', 'N-(4-(4-methylpiperidin-1-yl)-3-(trifluoromethyl)phenyl)-4-(morpholinomethyl)benzamide']"
"CHEMBL4279271";"";"";"Small molecule";"";"322.49";"9";"19";"2.77";"32.78";"4";"0";"0";"5";"N";"0.73";"0";"MOL";"-1";"23";"0.46";"C19H34N2O2";"CCN1CCN(CCC(=O)O[C@@H]2C[C@@H]3CC[C@@]2(C)C3(C)C)CC1";"BSKWMRLURFYVGO-FRQCXROJSA-N";"InChI=1S/C19H34N2O2/c1-5-20-10-12-21(13-11-20)9-7-17(22)23-16-14-15-6-8-19(16,4)18(15,2)3/h15-16H,5-14H2,1-4H3/t15-,16+,19+/m0/s1";"False";"-1";"['7b', '12', '19']";"['(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-ethylpiperazin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-ethylpiperazin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-ethylpiperazin-1-yl)propanoate']"
"CHEMBL4760524";"";"";"Unknown";"";"555.72";"3";"8";"5.04";"63.27";"6";"1";"2";"11";"N";"0.33";"3";"MOL";"-1";"41";"-1.13";"C34H41N3O4";"CC/C(=C(/c1ccc(NC(=O)CN2CCOCC2)cc1)c1ccc(OCCN2CCOCC2)cc1)c1ccccc1";"QMAKCCHKFDWZQM-NWBJSICCSA-N";"InChI=1S/C34H41N3O4/c1-2-32(27-6-4-3-5-7-27)34(29-10-14-31(15-11-29)41-25-20-36-16-21-39-22-17-36)28-8-12-30(13-9-28)35-33(38)26-37-18-23-40-24-19-37/h3-15H,2,16-26H2,1H3,(H,35,38)/b34-32+";"False";"-1";"['37']";"['(E)-2-morpholino-N-(4-(1-(4-(2-morpholinoethoxy)phenyl)-2-phenylbut-1-enyl)phenyl)acetamide']"
"CHEMBL4288786";"";"";"Small molecule";"";"307.48";"9";"22";"3.87";"29.54";"3";"0";"0";"4";"N";"0.74";"0";"MOL";"-1";"22";"0.61";"C19H33NO2";"CC1CCN(CCC(=O)O[C@@H]2C[C@@H]3CC[C@@]2(C)C3(C)C)CC1";"BNKKZJBBCBSKQU-FRQCXROJSA-N";"InChI=1S/C19H33NO2/c1-14-6-10-20(11-7-14)12-8-17(21)22-16-13-15-5-9-19(16,4)18(15,2)3/h14-16H,5-13H2,1-4H3/t15-,16+,19+/m0/s1";"False";"-1";"['15', '4b', '6']";"['(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-methylpiperidin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-methylpiperidin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-methylpiperidin-1-yl)propanoate']"
"CHEMBL4796723";"";"";"Unknown";"";"620.88";"3";"8";"7.28";"48.05";"5";"1";"2";"11";"N";"0.23";"3";"MOL";"-1";"46";"-1.02";"C40H52N4O2";"CC/C(=C(/c1ccc(NC(=O)C2CCN(C3CCN(C)CC3)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1";"NZZXFVRWVDPWLK-YMZYAJTMSA-N";"InChI=1S/C40H52N4O2/c1-3-38(31-9-5-4-6-10-31)39(33-13-17-37(18-14-33)46-30-29-43-23-7-8-24-43)32-11-15-35(16-12-32)41-40(45)34-19-27-44(28-20-34)36-21-25-42(2)26-22-36/h4-6,9-18,34,36H,3,7-8,19-30H2,1-2H3,(H,41,45)/b39-38+";"False";"-1";"['33']";"["(E)-1'-methyl-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)-1,4'-bipiperidine-4-carboxamide"]"
