Rank,starter_Canonical_SMILES,Canonical_SMILES,pPotency_prediction,pPotency_std,IC50 (µM),source_DataBase
1,Nc1ccc(C=C2C=C(O)C(=O)O2)cc1,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,5.094,1.1397669086346611,8.052346800521386,Basidalin_Precursor
2,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,5.058,1.1410215681821656,8.748832473558398,Basidalin_Precursor
3,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,5.055,1.142338318737949,8.804155655620603,Basidalin_Precursor
4,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,5.049,1.1409926943491222,8.923592695229539,Basidalin_Precursor
5,Nc1cc(O)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,5.035,1.1399036321584706,9.224873474167856,Basidalin_Precursor
6,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,C=CC1(CC2=CC(=CCNC(N)=[NH2+])OC2=O)CO1,4.999,1.1427200664675667,10.017262053081787,Basidalin_Precursor
7,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CCCO)C1CO,4.993,1.1401630654230634,10.156224489876228,Basidalin_Precursor
8,CCCC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@]1(CCCO)C(=O)OC(=CCNC(N)=[NH2+])C1=O,4.989,1.1409410435445744,10.253138213892147,Basidalin_Precursor
9,CCCC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@@]1(CCCO)C(=O)OC(=CCNC(N)=[NH2+])C1=O,4.989,1.1409410435445744,10.253138213892147,Basidalin_Precursor
10,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,CC(CNC(N)=[NH2+])=C1C[C@H](CCCO)C(=O)O1,4.986,1.1404242979296504,10.337146876682116,Basidalin_Precursor
11,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CCCC1=CC(=C(C)CNC(N)=[NH2+])OC1=O,4.984,1.1407130692370508,10.372203680926628,Basidalin_Precursor
12,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C=CC1C(=CCNC(N)=[NH2+])OC(=O)[C@H]1CCCO,4.984,1.1404921676503403,10.385199021415573,Basidalin_Precursor
13,CCCCC1=CC(=CCNC(N)=[NH2+])OC1=O,CC1=CC(=CCNC(N)=[NH2+])OC1(O)CCCO,4.982,1.1406566736630945,10.411860403499697,Basidalin_Precursor
14,Nc1cc(O)cc(C=C2C=CC(=O)O2)c1,Nc1cc(O)cc(C(CO)=C2C=CC(=O)O2)c1,4.982,1.140506194477337,10.432554868219546,Basidalin_Precursor
15,C=CC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@H](CC2(O)CO2)C1=O,4.981,1.1413635604380692,10.442473748495686,Basidalin_Precursor
16,C=CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,NC(=[NH2+])NCC=C1OC(=O)[C@@H](CC2(O)CO2)C1=O,4.981,1.1413635604380692,10.442473748495686,Basidalin_Precursor
17,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C[C@@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,4.981,1.141575852861952,10.446995339099578,Basidalin_Precursor
18,CCCC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C[C@]1(CCCO)CC(=CCNC(N)=[NH2+])OC1=O,4.981,1.141575852861952,10.446995339099578,Basidalin_Precursor
19,CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,4.981,1.1405673495874604,10.450312270401524,Basidalin_Precursor
20,CC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,C[C@@]1(CC(=O)O)C(=O)OC(=CCNC(N)=[NH2+])C1=O,4.981,1.1405673495874604,10.450312270401524,Basidalin_Precursor
