SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
*C1=C(*)C(=O)C(*)=C(*)C1=O,False,C6*4O2,103.9898,8
CC(C)=CCOP(=O)(O)OP(=O)(O)O,False,C5H12O7P2,246.0058,14
O=P(O)(O)OP(=O)(O)O,False,H4O7P2,177.9432,9
*C(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,C20H22*N7O6,456.1632,33
*C(=O)CC[C@H](NC(=O)c1ccc(NC[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,C19H22*N7O5,428.1682,31
[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,False,C6H7O6,175.0243,12
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,False,C6H8O6,176.0321,12
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21,False,C19H21*N3O11P,498.0914,34
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O,False,C19H23*N3O11P,500.107,34
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False,C23H38N7O17P3S,809.1258,51
C#[O+],False,CHO+,29.0022,2
O=C=O,False,CO2,43.9898,3
O=C(O)O,False,CH2O3,62.0004,4
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False,C21H36N7O16P3S,767.1152,48
[H+],False,H+,1.0073,0
OO,False,H2O2,34.0055,2
Br,False,HBr,79.9262,1
C#N,False,CHN,27.0109,2
Cl,False,HCl,35.9767,1
F,False,HF,20.0062,1
I,False,HI,127.9123,1
N,False,H3N,17.0265,1
O=O,False,O2,31.9898,2
O=P(O)(O)O,False,H3O4P,97.9769,5
O=S(=O)(O)O,False,H2O4S,97.9674,5
O=S(O)O,False,H2O3S,81.9725,4
O,False,H2O,18.0106,1
C=C1OC(=O)[C@@H](CCCNC(N)=[NH2+])C1=O,False,C9H14N3O3+,212.103,15
C=C1OC(=O)[C@@H](C(C)CNC(N)=[NH2+])C1=O,False,C9H14N3O3+,212.103,15
CC1(C)C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C9H14N3O3+,212.103,15
C=C1OC(=O)[C@@](CC)(CNC(N)=[NH2+])C1=O,False,C9H14N3O3+,212.103,15
CC(CNC(N)=[NH2+])=C1OC(=O)[C@@H](C)C1=O,False,C9H14N3O3+,212.103,15
CCC(CNC(N)=[NH2+])=C1OC(=O)CC1=O,False,C9H14N3O3+,212.103,15
CC(C=C1OC(=O)[C@@H](C)C1=O)NC(N)=[NH2+],False,C9H14N3O3+,212.103,15
CCC(C=C1OC(=O)CC1=O)NC(N)=[NH2+],False,C9H14N3O3+,212.103,15
CC[C@H]1C(=O)C2=CCNC(=[NH2+])N=C1O2,False,C9H12N3O2+,194.0924,14
CC[C@@H]1C(=O)OC2=CCNC(=[NH2+])N=C21,False,C9H12N3O2+,194.0924,14
CC[C@H]1C(=O)C2=CCNC(N)=[N+]=C1O2,False,C9H12N3O2+,194.0924,14
CC[C@@H]1C(=O)OC2=CCNC(N)=[N+]=C21,False,C9H12N3O2+,194.0924,14
CC[C@@H]1C(=O)OC(=CCN(C)C(N)=[NH2+])C1=O,False,C10H16N3O3+,226.1186,16
CC[C@@H]1C(=O)OC(=CCNC(=[NH2+])NC)C1=O,False,C10H16N3O3+,226.1186,16
CCC[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C10H16N3O3+,226.1186,16
CC(C)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C10H16N3O3+,226.1186,16
CC[C@@H]1C(=O)OC(=C(C)CNC(N)=[NH2+])C1=O,False,C10H16N3O3+,226.1186,16
CC[C@@H]1C(=O)OC(=CC(C)NC(N)=[NH2+])C1=O,False,C10H16N3O3+,226.1186,16
CC[C@@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(C)=O)C1=O,False,C11H16N3O4+,254.1135,18
NC(=[NH2+])NCC=C1OC(=O)[C@@H](CCC(=O)O)C1=O,False,C10H14N3O5+,256.0928,18
CC(C(=O)O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C10H14N3O5+,256.0928,18
CC[C@@H]1C(=O)OC(=C(CNC(N)=[NH2+])C(=O)O)C1=O,False,C10H14N3O5+,256.0928,18
CC[C@@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C10H14N3O5+,256.0928,18
CC[C@@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C10H15N4O4+,255.1088,18
NC(=[NH2+])NCC=C1OC(=O)[C@@H](CCO)C1=O,False,C9H14N3O4+,228.0979,16
CC(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C9H14N3O4+,228.0979,16
CC[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1=O,False,C9H14N3O4+,228.0979,16
CC[C@@H]1C(=O)OC(=CC(O)NC(N)=[NH2+])C1=O,False,C9H14N3O4+,228.0979,16
CC[C@@H]1C(=O)OC2(OC2CNC(N)=[NH2+])C1=O,False,C9H14N3O4+,228.0979,16
CC[C@@H]1C(=O)OC(O)(CCNC(N)=[NH2+])C1=O,False,C9H16N3O4+,230.1135,16
CC[C@H](C(=O)O)C(=O)C(O)=CCNC(N)=[NH2+],False,C9H16N3O4+,230.1135,16
NC(=[NH2+])NCC=C1OC(O)[C@@H](CCO)C1=O,False,C9H16N3O4+,230.1135,16
NC(=[NH2+])NCC=C1OC(=O)[C@@H](CCO)C1O,False,C9H16N3O4+,230.1135,16
CC(O)[C@H]1C(=O)C(=CCNC(N)=[NH2+])OC1O,False,C9H16N3O4+,230.1135,16
CC(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C9H16N3O4+,230.1135,16
CC[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1O,False,C9H16N3O4+,230.1135,16
CC[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C9H16N3O4+,230.1135,16
CC[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1O,False,C9H16N3O4+,230.1135,16
CC[C@@H]1C(=O)OC(=CC(O)NC(N)=[NH2+])C1O,False,C9H16N3O4+,230.1135,16
CC[C@@H]1C(=O)OC(=CCNC(N)=O)C1=O,False,C9H12N2O4,212.0797,15
[NH4+],False,H4N+,18.0338,1
CC[C@@H]1C(=O)OC(=CC=O)C1=O,False,C8H8O4,168.0423,12
NC(N)=[NH2+],False,CH6N3+,60.0556,4
C[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C8H12N3O3+,198.0873,14
CC[C@@]1(C)C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C10H16N3O3+,226.1186,16
