PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,475981164,166626861,CN1CCN(C2=NC3=C(C=C(C=C3)F)C(=O)N(C21)C4=CC=CC=C4)C,Unspecified,,,,30,EC50,>,30000,nM
2,475982118,166627330,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=C(C=C4)F)C,Active,,,,0.15,EC50,=,150,nM
3,475982961,166627752,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC(=CC=C4)OC)C,Active,,,,0.53,EC50,=,530,nM
4,475984403,166628483,COC1=CC=C(C=C1)N2C3C(=NC4=C(C2=O)C=C(C=C4)[N+](=O)[O-])N(CCN3CC5=CC=CC=C5)CC6=CC=CC=C6,Unspecified,,,,19.8,EC50,=,19800,nM
5,475984487,166628531,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=CC=C4)C,Active,,,,0.12,EC50,=,120,nM
6,475984756,166628664,CN1CCN(C2=NC3=C(C=CC(=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=CC=C4)C,Unspecified,,,,30,EC50,>,30000,nM
7,475984760,166628668,CN1CCN(C2C1=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=C(C=C4)OC)CC5=CC=CC=C5,Active,,,,3,EC50,=,3000,nM
8,475986445,166629540,CN1[C@@H]2CCCC[C@H]2N(C3=NC4=C(C=C(C=C4)[N+](=O)[O-])C(=O)N([C@H]31)C5=CC=C(C=C5)OC)C,Active,,,,4.7,EC50,=,4700,nM
9,475987390,166629980,CN1CCN(C2=NC3=C(C=C(C=C3Br)C#N)C(=O)N(C21)C4=CC(=C(C=C4)OC)F)C,Active,,,,4.1,EC50,=,4100,nM
10,475987391,166629981,CC1=NC=C(C=C1)C2=C3C(=CC(=C2)C#N)C(=O)N([C@H]4C(=N3)N(CCN4C)C)C5=CC(=C(C=C5)OC)F,Active,,,,0.5,EC50,=,500,nM
11,475988486,163322308,CC1=NC=C(C=C1)C2=C3C(=CC(=C2)C#N)C(=O)N(C4C(=N3)N(CCN4C)C)C5=CC(=C(C=C5)OC)F,Active,,,,0.24,EC50,=,240,nM
12,475988549,166630550,CN1CCN(C2=NC3=C(C=C(C=C3)C#N)C(=O)N(C21)C4=CC=CC=C4)C,Active,,,,7,EC50,=,7000,nM
13,475993710,166633106,CN1CCN(C2=NC3=C(C=C(C=C3N4CCOCC4)C#N)C(=O)N(C21)C5=CC(=C(C=C5)OC)F)C,Active,,,,2.5,EC50,=,2500,nM
14,475994139,166633312,CN1CCN(C2=NC3=C(C=C(C=C3)C#N)C(=O)N(C21)C4=CC=C(C=C4)OC)C,Active,,,,4.2,EC50,=,4200,nM
15,475996032,166634285,CN1CCN(C2C1=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=C(C=C4)OC)C5CCCCC5,Active,,,,7,EC50,=,7000,nM
16,475997929,166635223,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC(=C(C=C4)OC)F)C,Active,,,,0.048,EC50,=,48,nM
17,475998037,166635276,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=C(C=C4)OC)C,Active,,,,0.041,EC50,=,41,nM
18,475999358,166635931,CC1=NC=C(C=C1)C2=C3C(=CC(=C2)C#N)C(=O)N([C@@H]4C(=N3)N(CCN4C)C)C5=CC(=C(C=C5)OC)F,Active,,,,0.33,EC50,=,330,nM
19,476000491,166636493,CN1[C@H]2CCCC[C@@H]2N(C3=NC4=C(C=C(C=C4)[N+](=O)[O-])C(=O)N([C@@H]31)C5=CC=C(C=C5)OC)C,Active,,,,5.6,EC50,=,5600,nM
