PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Rep 1,IC50 Rep 2,% Inhibition @ 25 uM Rep 1,% Inhibition @ 12.5 uM Rep 1,% Inhibition @ 6.25 uM Rep 1,% Inhibition @ 3.125 uM Rep 1,% Inhibition @ 2.5 uM Rep 1,% Inhibition @ 1.563 uM Rep 1,% Inhibition @ 1.25 uM Rep 1,% Inhibition @ 0.781 uM Rep 1,% Inhibition @ 0.625 uM Rep 1,% Inhibition @ 0.391 uM Rep 1,% Inhibition @ 0.313 uM Rep 1,% Inhibition @ 0.195 uM Rep 1,% Inhibition @ 0.156 uM Rep 1,% Inhibition @ 0.098 uM Rep 1,% Inhibition @ 0.078 uM Rep 1,% Inhibition @ 0.039 uM Rep 1,% Inhibition @ 0.02 uM Rep 1,% Inhibition @ 0.01 uM Rep 1,% Inhibition @ 0.005 uM Rep 1,% Inhibition @ 25 uM Rep 2,% Inhibition @ 12.5 uM Rep 2,% Inhibition @ 6.25 uM Rep 2,% Inhibition @ 3.125 uM Rep 2,% Inhibition @ 1.563 uM Rep 2,% Inhibition @ 0.781 uM Rep 2,% Inhibition @ 0.625 uM Rep 2,% Inhibition @ 0.391 uM Rep 2,% Inhibition @ 0.313 uM Rep 2,% Inhibition @ 0.195 uM Rep 2,% Inhibition @ 0.156 uM Rep 2,% Inhibition @ 0.078 uM Rep 2,% Inhibition @ 0.039 uM Rep 2,% Inhibition @ 0.02 uM Rep 2,% Inhibition @ 0.01 uM Rep 2,% Inhibition @ 0.005 uM Rep 2,Verification
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,136348365,57339120,COC1=CC=CC(=C1)N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Active,96,,,5.632,,74,78.93,39.87,-3.1,,-5.37,,-3.63,,-4.57,,-3.9,,,,,,,,,,,,,,,,,,,,,,,,Verified
10,136348367,57339124,C1CN(CCN1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CSC=C4,Active,100,,,0.905,,,,,,86.63,,35.1,,-3.73,,-3.93,,-3.27,,-1.27,-2.63,-3.27,,,,,,,,,,,,,,,,,,,Verified
11,143472913,60138206,CCN1CCN(CC1)CC2=NC3=C(C=C(C=N3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Active,98,,,3.082,,93.3,87.43,85.87,53.9,,12.03,,2.33,0.2,0.9,-0.03,-1.27,-0.53,,-0.07,-0.27,-0.6,-0.07,-0.4,,,,,,,,,,,,,,,,,Verified
12,144087341,60156249,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C#N)C(=O)N2C4=CC=CC=C4,Active,100,,,1.089,,91.67,95.73,87.83,93.53,,81.5,,20.87,9.87,8.1,5.43,0.63,0.53,,1.1,1.8,0.53,0.87,-0.5,,,,,,,,,,,,,,,,,Verified
13,144108867,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,0.557,,85.57,89.6,88.87,94.9,,94.1,,86.17,54.37,19.9,12.9,5.7,4.37,,2.43,2.23,1.33,0.6,0.07,,,,,,,,,,,,,,,,,Verified
14,144220811,71301445,CN1CCN(C(=NC2=C(C=C(C=C2)C#N)C(=O)NC3=CC=CC=C3)C1)C,Active,100,,,0.319,,95.33,88.97,88.27,91.33,,94.5,,90.27,95.37,67.3,33.07,30.17,15.67,,3.83,1.07,-0.97,0.2,1.27,,,,,,,,,,,,,,,,,Verified
15,144220813,71301450,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=C(C=C3)OC)C1)C,Active,100,,,0.045,,92.17,90.3,94.8,94.83,,97.1,,94.53,98,95.53,91.23,98.77,95.03,,92.3,34.43,10.17,2.4,-0.93,,,,,,,,,,,,,,,,,Verified
16,144220814,71301444,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3F)C1)C,Active,100,,,0.158,,88.03,87.1,89.8,92.97,,94.2,,94.6,97.87,99.2,89.93,97.67,46.5,,16.8,3.63,0.33,-0.87,-2.4,,,,,,,,,,,,,,,,,Verified
17,150864357,71301446,CN1CCN(C(=NC2=C(C=C(C(=C2)Cl)C#N)C(=O)NC3=CC=CC=C3)C1)C,Active,100,,,0.113,,90.53,87.97,89.67,92.63,,94.07,,91.9,97.73,95.43,91.37,97.03,78.63,,15.97,6.27,1.77,-0.7,-2.6,,,,,,,,,,,,,,,,,Verified
18,150864358,71301448,CCN1CCN(CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C,Active,100,,,0.034,,92.6,88.47,90.37,88.93,,93.33,,92.43,102.23,97.67,92.03,95.97,94.77,,94.47,58.33,15.63,6.4,-1.5,,,,,,,,,,,,,,,,,Verified
19,150864360,65389147,CNCCCN(C)CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N1C3=CC=CC=C3,Active,100,,,0.405,,95.5,89.73,94.33,93,,92.47,,82.47,74,53.33,29.93,11,15.4,,1.43,-0.47,-1.53,0.2,-0.97,,,,,,,,,,,,,,,,,Verified
20,152138459,71301449,CN1CCN(C(=NC2=C(C=C(C=C2)C#N)C(=O)NC3=CC(=CC=C3)F)C1)C,Active,100,,,0.823,,90.47,85.87,88.07,93.23,,93.9,,48.93,15.37,10.4,9.03,3.6,2,,0.5,0.73,0.7,0.33,0.53,,,,,,,,,,,,,,,,,Verified
