PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50,IC50 Test 1,IC50 Test 2,% Inhibition @ 50 uM Test 1,% Inhibition @ 25 uM Test 1,% Inhibition @ 12.5 uM Test 1,% Inhibition @ 6.25 uM Test 1,% Inhibition @ 3.125 uM Test 1,% Inhibition @ 1.563 uM Test 1,% Inhibition @ 1.25 uM Test 1,% Inhibition @ 0.781 uM Test 1,% Inhibition @ 0.625 uM Test 1,% Inhibition @ 0.391 uM Test 1,% Inhibition @ 0.313 uM Test 1,% Inhibition @ 0.195 uM Test 1,% Inhibition @ 0.156 uM Test 1,% Inhibition @ 0.078 uM Test 1,% Inhibition @ 0.039 uM Test 1,% Inhibition @ 0.02 uM Test 1,% Inhibition @ 0.01 uM Test 1,% Inhibition @ 0.005 uM Test 1,% Inhibition @ 25 uM Test 2,% Inhibition @ 12.5 uM Test 2,% Inhibition @ 6.25 uM Test 2,% Inhibition @ 3.125 uM Test 2,% Inhibition @ 1.563 uM Test 2,% Inhibition @ 0.781 uM Test 2,% Inhibition @ 0.625 uM Test 2,% Inhibition @ 0.391 uM Test 2,% Inhibition @ 0.313 uM Test 2,% Inhibition @ 0.195 uM Test 2,% Inhibition @ 0.156 uM Test 2,% Inhibition @ 0.078 uM Test 2,% Inhibition @ 0.039 uM Test 2,% Inhibition @ 0.02 uM Test 2,% Inhibition @ 0.01 uM Test 2,% Inhibition @ 0.005 uM Test 2,% Inhibition @ 25 uM Test 3,% Inhibition @ 12.5 uM Test 3,% Inhibition @ 6.25 uM Test 3,% Inhibition @ 3.125 uM Test 3,% Inhibition @ 1.563 uM Test 3,% Inhibition @ 0.781 uM Test 3,% Inhibition @ 0.625 uM Test 3,% Inhibition @ 0.391 uM Test 3,% Inhibition @ 0.313 uM Test 3,% Inhibition @ 0.195 uM Test 3,% Inhibition @ 0.156 uM Test 3,% Inhibition @ 0.078 uM Test 3,% Inhibition @ 0.039 uM Test 3,% Inhibition @ 0.02 uM Test 3,% Inhibition @ 0.01 uM Test 3,% Inhibition @ 0.005 uM Test 3,Verification
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,50,25,12.5,6.25,3.125,1.563,1.25,0.781,0.625,0.391,0.313,0.195,0.156,0.078,0.039,0.02,0.01,0.005,25,12.5,6.25,3.125,1.563,0.781,0.625,0.391,0.313,0.195,0.156,0.078,0.039,0.02,0.01,0.005,25,12.5,6.25,3.125,1.563,0.781,0.625,0.391,0.313,0.195,0.156,0.078,0.039,0.02,0.01,0.005,
1,144087340,71301451,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C1)C,Inactive,0,,,,,,,-1.6,0,-0.9,-0.8,-0.7,,0,,0.9,,-0.4,,,,,,,,,,,,,0,,-0.1,,1,-0.1,0.2,0,0.1,0.2,,,,,,,-2.9,,-2.85,,-3.25,-2.9,-2.55,-2.85,-3.15,-2.2,Verified
2,144108867,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,,,-3.4,-5.6,-6.3,-6.2,-2.5,-6.3,-5.7,-6.3,-5.6,-5.2,-6.1,,-5.5,-5.7,-5.5,-5,-4.5,,-0.7,-0.5,-0.9,-0.6,0.1,0.2,,-0.7,,0.2,,,,,,,0.7,-0.2,-0.2,0.5,2.6,1,,0.4,,0.4,,,,,,,Verified
3,144108866,1258664,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC=C4,Active,100,,,1.06,0.62,1.49,,,,,,80.1,,65.1,,15.5,,5,,,,,,,,,,67.9,66,15.8,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,Verified
4,144220813,71301450,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=C(C=C3)OC)C1)C,Inactive,0,,,,,,,,,,,,,,0.6,,-0.2,,0.1,0.3,0.5,0.2,0.5,0.3,,,,,,,-3.15,,-3.65,,-3.1,-3.15,-2.1,-3.1,-2.75,-2.3,,,,,,,,,,,,,,,,,Verified
5,134970386,56840687,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,1.8,0.1,0.3,-0.1,0.5,,0.8,,1.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
6,144087339,60156244,CCN1CCN(CC1)CC2NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,,,,-0.9,0.1,-0.1,-0.3,-0.6,,0.8,,-0.3,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
