PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103168230,3767,C1=CN=CC=C1C(=O)NN,Active,,,,0.2,MIC90,=,200,nM,
2,103168230,3767,C1=CN=CC=C1C(=O)NN,Active,,,,0.07,IC50,=,70,nM,
3,103760931,135430293,C1=CC(=CC=C1/C=N/N=C(\N)/NO)O,Unspecified,,,,222,MIC90,=,222000,nM,
4,103760931,135430293,C1=CC(=CC=C1/C=N/N=C(\N)/NO)O,Unspecified,,,,43,IC50,=,43000,nM,
5,103760939,135486206,C1=CC=C(C(=C1)/C=N/N=C(/N)\NO)O,Unspecified,,,,222,MIC90,=,222000,nM,
6,103760939,135486206,C1=CC=C(C(=C1)/C=N/N=C(/N)\NO)O,Unspecified,,,,11,IC50,=,11000,nM,
7,103767285,135860584,C1CN(CCN1C(=O)NO)C(=S)N/N=C/C2=CC=CC=C2O,Unspecified,,,,31,MIC90,>,31000,nM,
8,103767285,135860584,C1CN(CCN1C(=O)NO)C(=S)N/N=C/C2=CC=CC=C2O,Unspecified,,,,20,IC50,=,20000,nM,
