PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103457058,44397369,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)C(CNC(=O)OCC2=CC=CC=C2)CNC(=O)OCC3=CC=CC=C3,Active,,,,4,IC50,=,4000,nM
2,103457195,44397469,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)CCC3=CC=CC4=CC=CC=C43)C(=O)N,Unspecified,,,,18,IC50,=,18000,nM
3,103457196,44397470,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NS(=O)(=O)CCC3=CC=CC4=CC=CC=C43)C(=O)N,Unspecified,,,,22,IC50,=,22000,nM
4,103457268,44397522,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)CCC3=CNC4=CC=CC=C43)C(=O)N,Unspecified,,,,100,IC50,>,100000,nM
5,103457269,44397523,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)CCCC3=CNC4=CC=CC=C43)C(=O)N,Unspecified,,,,100,IC50,>,100000,nM
6,103457270,44397524,CC1=CN(C(=O)NC1=O)CC(=O)N[C@@H](CCC(=O)OCC2=CC=CC=C2)C(=O)N[C@@H](CC3=CC=C(C=C3)OCC(=O)O)C(=O)C[C@@H](CC(C)C)C(=O)N,Unspecified,,,,100,IC50,>,100000,nM
7,103457271,44397525,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)CC3=NN(N=N3)CC4=CC=C(C=C4)OC)C(=O)N,Unspecified,,,,100,IC50,>,100000,nM
8,103457272,44397526,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CNC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35)C(=O)N,Active,,,,2.1,IC50,=,2100,nM
9,103457515,44397704,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)CCC3=C4C=CC=CC4=CC5=CC=CC=C53)C(=O)N,Unspecified,,,,12,IC50,=,12000,nM
10,103457516,44397705,CC1=CC2=C(C=C1)N(CC2)CCC(=O)N[C@@H](CCC(=O)OCC3=CC=CC=C3)C(=O)N[C@@H](CC4=CC=C(C=C4)OCC(=O)O)C(=O)C[C@@H](CC(C)C)C(=O)N,Active,,,,5.6,IC50,=,5600,nM
11,103457757,44397838,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)CC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35)C(=O)N,Active,,,,2.4,IC50,=,2400,nM
12,103457758,44397839,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)C(C(=O)O)(F)F)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35)C(=O)N,Active,,,,2.5,IC50,=,2500,nM
13,103457759,44397840,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OC(C(=O)O)(F)F)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35)C(=O)N,Active,,,,1.9,IC50,=,1900,nM
14,103457760,44397841,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)COC3=CC=CC4=CC=CC=C43)C(=O)N,Unspecified,,,,20,IC50,=,20000,nM
15,103457761,44397842,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)COC3=CC4=CC=CC=C4C=C3)C(=O)N,Unspecified,,,,30,IC50,=,30000,nM
16,103457978,44397962,CC(C)C[C@H](CC(=O)[C@H](CC1=CC=C(C=C1)OCC(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35)C(=O)N,Active,,,,1.8,IC50,=,1800,nM
