PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,131276012,52952499,C1=CC(=CC(=C1)C(F)(F)P(=O)(O)O)C2=CC=C(C=C2)CO/N=C/C3=CC=C(O3)C(=O)O,Active,,,,0.19,IC50,=,190,nM
2,131277983,52952404,CC1=CC=C(O1)/C=N/OCC2=CC=C(C=C2)C3=CC(=CC=C3)C(F)(F)P(=O)(O)O,Active,,,,0.91,IC50,=,910,nM
3,131282049,52952498,C1=CC(=CC(=C1)C(F)(F)P(=O)(O)O)C2=CC=C(C=C2)CO/N=C/C3=CC=C(O3)CO,Active,,,,0.73,IC50,=,730,nM
4,131284025,52952403,C1=CC(=CC(=C1)C(F)(F)P(=O)(O)O)C2=CC=C(C=C2)CO/N=C/C3=CC=CO3,Active,,,,1.2,IC50,=,1200,nM
5,131286026,52952402,C1=CC(=CC(=C1)C(F)(F)P(=O)(O)O)C2=CC=C(C=C2)CO/N=C/C3=COC=C3,Active,,,,3.69,IC50,=,3690,nM
