PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103697653,11655020,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)/C=C/C4=CC(=C(C=C4)F)F,Active,,,Potential missing data,Activity,Active
2,103697660,11711564,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C#N,Active,,,Potential missing data,Activity,Active
3,103697661,25060595,C1=CC(=CC=C1/C=C/C(=O)NC2=CN=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Inactive,,,Potential missing data,Activity,Not Active
4,103697673,11596790,CC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Activity,Not Active
5,103697680,11568166,COC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Activity,Active
6,103697708,11718665,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Active,,,Potential missing data,Activity,Active
7,103697715,25062671,CC1=CC2=C(C=C1[N+](=O)[O-])N(C(=N2)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)O,Active,,,Potential missing data,Activity,Active
8,103697759,25059286,CCOC1=C(C=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)[N+](=O)[O-],Active,,,Potential missing data,Activity,Active
