PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103760931,135430293,C1=CC(=CC=C1/C=N/N=C(\N)/NO)O,Unspecified,,,,500,MIC90,>,500000,nM,
2,103760931,135430293,C1=CC(=CC=C1/C=N/N=C(\N)/NO)O,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
3,103760939,135486206,C1=CC=C(C(=C1)/C=N/N=C(/N)\NO)O,Unspecified,,,,250,MIC90,=,250000,nM,
4,103760939,135486206,C1=CC=C(C(=C1)/C=N/N=C(/N)\NO)O,Unspecified,,,,70,IC50,=,70000,nM,
5,103767285,135860584,C1CN(CCN1C(=O)NO)C(=S)N/N=C/C2=CC=CC=C2O,Active,,,,0.2,MIC90,=,200,nM,
6,103767285,135860584,C1CN(CCN1C(=O)NO)C(=S)N/N=C/C2=CC=CC=C2O,Active,,,,0.04,IC50,=,40,nM,
7,136922528,136196485,C1[C@H](NN=C1C2=CC=CC=C2O)C3=CC=CC=C3O,Active,,,,9,IC50,=,9000,nM,
