PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103174127,2259,C1=CC(=C(C=C1C(=C2C=CC(=O)C(=C2)C(=O)O)C3=CC(=C(C=C3)O)C(=O)O)C(=O)O)O,Active,,,,0.005,Ki,=,5,nM,
2,312374378,101879109,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCCCNC(=O)C3=CC=C(S3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,11.1,IC50,=,11100,nM,
3,312374379,137007076,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCCCNC(=O)C3=NOC(=C3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,23,IC50,=,23000,nM,
4,312374380,118724333,C1=CC=C2C(=C1)N=C(S2)NC(=O)CCCCNC(=O)C3=CC(=CS3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,39.5,IC50,=,39500,nM,
5,312374381,118724334,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCCCNC(=O)C3=CC(=CS3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,44.2,IC50,=,44200,nM,
6,312374382,137007077,C1COCCN1C2=CC=C(C=C2)NC(=O)CCCCNC(=O)C3=NOC(=C3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,63,IC50,=,63000,nM,
7,312374383,118724336,C1=CC=C2C(=C1)N=C(S2)NC(=O)CCCCNC(=O)C3=CC=C(S3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,20,IC50,>,20000,nM,
8,312374384,118724337,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCNC(=O)C3=CC=C(S3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,50,IC50,>,50000,nM,
9,312374385,118724338,C1COCCN1C2=CC=C(C=C2)NC(=O)CCCCNC(=O)C3=CC=C(S3)C4=CC(=C(C=C4)O)C(=O)O,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
10,312374386,118724339,C1=CC=C(C=C1)CNC(=O)CCCCNC(=O)C2=CC=C(S2)C3=CC(=C(C=C3)O)C(=O)O,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
