PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103454973,21389,C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
2,124957288,674719,CC1=C(C=CC(=C1)O)SC2=C(C=C(C=C2)O)C,Active,,,,10,IC50,=,10000,nM,
3,124957288,674719,CC1=C(C=CC(=C1)O)SC2=C(C=C(C=C2)O)C,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
4,124960969,2914924,CC1=CC=C(C=C1)C2=NN(C=C2C3CC(=NN3C(=O)CCCC(=O)O)C4=CC=CS4)C5=CC=CC=C5,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
5,124967851,722241,CC1=CC=C(C=C1)CSC2=C(C=CC(=N2)C(=O)O)C#N,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
