PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00295 uM,Activity at 0.015 uM,Activity at 0.074 uM,Activity at 0.369 uM,Activity at 1.843 uM,Activity at 9.217 uM,Activity at 46.08 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
630,50105913,446727,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,6.8904,10.8448,17.4557,8.818,5.5997,25.7333,0.1622,6.8904,QC'd by SigmaAldrich
631,50107086,11957706,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3.Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-45.4737,4.3626,-5.2474,13.2087,12.1439,35.8639,-3.2707,-45.4737,QC'd by SigmaAldrich
632,50104308,3122,C(CCC(C(=O)O)N)CCP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,35.728,-3.9485,10.678,16.137,25.1502,38.2724,1.2111,35.728,QC'd by SigmaAldrich
633,50106767,5702098,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0,-17.7329,0.3098,2.5663,-13.8701,12.6813,-3.1967,-9.4407,-17.7329,QC'd by SigmaAldrich
634,50106037,11957494,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)[O-])N)SC1)C(=O)[O-].[Zn+2],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,25.5296,-4.083,5.2401,0.3574,24.2358,21.9239,-18.9432,25.5296,QC'd by SigmaAldrich
635,50106160,86470,CNCCC1=CC(=C(C=C1)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.4782,-21.2876,-23.9987,-18.4511,-8.116,4.6081,-25.8274,-34.4782,QC'd by SigmaAldrich
636,50104457,4375,CNC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,38.9577,-1.4728,22.0971,21.616,10.576,32.7148,27.8085,38.9577,QC'd by SigmaAldrich
637,50106161,1917,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3CCCC3,Inactive,0,,,Inactive,,,,,,,,,,4,,16.3889,-6.6231,30.2091,-2.3461,7.7686,34.5672,1.3068,16.3889,QC'd by SigmaAldrich
638,50107147,11211984,C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0,-24.2443,18.6652,1.0223,-12.6525,24.9547,-2.204,-16.9139,-24.2443,QC'd by SigmaAldrich
639,50106098,11957505,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,17.8598,-15.4562,9.7772,3.6763,9.8824,33.8283,7.9295,17.8598,QC'd by SigmaAldrich
640,50106283,6852374,CNC[C@@H](C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.77,-16.4343,4.7082,-8.8106,8.9487,-9.7284,-13.3804,-10.77,QC'd by SigmaAldrich
641,50106468,24867506,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@H]2C[C@@H]([C@H]31)[C@]5(C[C@@H]([C@H]6C[C@@H]4C5[C@H]6O)OC)O)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,1.2785,-0.6249,-2.2568,1.3658,5.7633,20.9373,-0.8809,1.2785,QC'd by SigmaAldrich
642,50104371,447196,C1=C(C(=O)NC(=O)N1C[C@@H](C(=O)O)N)I,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,8.1508,-7.9113,-4.333,1.7709,27.3391,24.6705,17.7273,8.1508,QC'd by SigmaAldrich
643,50103969,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,23.6543,-14.027,2.6128,-4.3106,-0.3585,0.3255,0.1256,23.6543,QC'd by SigmaAldrich
644,50106978,9384,C(CCNCCCN)CNCCCN.Cl.Cl.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,1.6913,-7.6022,7.6859,6.2238,20.584,33.025,-1.2438,1.6913,QC'd by SigmaAldrich
645,50106036,23675312,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)[O-].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,30.4277,2.8815,11.3202,4.2557,25.6526,38.4411,16.5313,30.4277,QC'd by SigmaAldrich
646,50106406,1245,COC1=C(C=CC(=C1)C(C(=O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-21.1299,-0.4436,-1.1431,18.0792,12.7336,0.9283,-12.446,-21.1299,QC'd by SigmaAldrich
647,50107085,62935,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 1,1.1512,22.9767,-29.4217,2.1543,14.5058,-2.2345,-26.7799,1.1512,QC'd by SigmaAldrich
648,50106838,657349,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C.[N+](=O)(O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,6.4969,4.2003,6.1576,7.2309,18.8843,35.2054,19.4435,6.4969,QC'd by SigmaAldrich
649,50105719,64150,C1C2CC3CC1CC(C2)(C3)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,34.3354,7.8477,36.3786,8.757,20.1151,39.1787,15.4995,34.3354,QC'd by SigmaAldrich
650,50106587,11538542,CCOC(=O)C1=C(N(C(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)CC#C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.1932,-14.653,5.6588,4.9053,-14.3276,17.3287,-7.1313,-6.1932,QC'd by SigmaAldrich
651,26753607,16759251,CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)CN=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,19.8915,-16.4674,14.1292,-0.893,6.2377,15.1674,-10.1289,19.8915,QC'd by SigmaAldrich
652,50105912,11545,C[N+](C)(C)CC(=O)O.[Cl-],Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1,-9.0497,1.0259,-12.5792,9.2911,3.6146,14.2221,0.2575,-9.0497,QC'd by SigmaAldrich
653,50106413,160436,C1=CC2=C(C=C1O)C(=CN2)CCN.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1,9.8222,7.7,-1.767,0.3841,13.5422,24.4115,20.3271,9.8222,QC'd by SigmaAldrich
654,50106533,6603892,CCCN1C(=C(C2=CC=CC=C21)C(=O)C3=CC4=CC=CC=C4C=C3)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,33.9882,4.591,-3.8848,-2.4701,45.0892,42.3133,19.0871,33.9882,QC'd by SigmaAldrich
655,50106902,92163,CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-7.8144,-14.0627,-2.48,1.4501,3.1448,24.42,-11.052,-7.8144,QC'd by SigmaAldrich
656,50104804,5353454,CC(/C=C/C1=CC(=CC=C1)OC2=CC=C(C=C2)F)N(C(=O)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-19.8392,-17.9501,-2.654,-0.5595,2.6393,5.6042,-7.617,-19.8392,QC'd by SigmaAldrich
657,50106232,6603822,CCCCCCCCCCCCCCC[C@@H]([C@@H](CO)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,,32.3736,16.0243,2.7432,26.7593,11.7529,14.9353,14.0672,32.3736,QC'd by SigmaAldrich
658,50106483,5807,CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,2.2397,-9.0596,-6.5975,-8.3009,1.6314,7.7914,-3.5946,2.2397,QC'd by SigmaAldrich
659,50105240,3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,20.6938,14.5309,8.1927,-10.21,0.1769,21.6432,-4.6493,20.6938,QC'd by SigmaAldrich
660,50106839,5887,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-28.2448,4.6988,9.5106,14.6731,13.3409,37.9967,36.7147,-28.2448,QC'd by SigmaAldrich
661,50105027,1893668,CCN\1C2=C(C=CC(=C2)OC)S/C1=C\C(=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1,9.5931,-9.5276,6.2135,-5.1626,11.564,12.7524,-27.5443,9.5931,QC'd by SigmaAldrich
662,50104526,6322,C(C[C@@H](C(=O)O)N)CN=C(N)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,9.0223,-16.3575,-14.1738,-32.9552,4.8691,4.2146,-29.3097,9.0223,QC'd by SigmaAldrich
663,50105915,171729,C[N+]1(CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C.[Br-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-4.02,-17.378,-10.4428,-11.2854,-10.062,14.0199,-28.1458,-4.02,QC'd by SigmaAldrich
664,26753552,4712,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-10.0362,-7.0002,8.4027,5.2687,5.5019,0.5462,-4.9971,-10.0362,QC'd by SigmaAldrich
665,50106023,5281787,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,8.2725,-16.3929,-0.8544,-7.307,10.0377,20.8397,-27.2635,8.2725,QC'd by SigmaAldrich
666,50107211,5328760,C1=CC(=C(C=C1/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,3.1031,3.5358,-8.302,4.236,28.8256,3.2281,-5.2695,3.1031,QC'd by SigmaAldrich
667,50106595,6081,CC(C(C1=C(C=CC(=C1)OC)OC)O)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,12.2739,-11.1028,-1.2638,-0.7513,10.8475,64.6395,-7.6116,12.2739,QC'd by SigmaAldrich
668,50106343,5961,C(CC(=O)N)[C@@H](C(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,11.7825,-5.6109,-7.2789,4.433,5.1316,14.3761,-12.9533,11.7825,QC'd by SigmaAldrich
669,50106272,11957545,C1CC2CC1C[C@@H]2NC3=C4C(=NC=N3)N(C=N4)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,8.3595,-7.4799,11.6912,20.0107,8.3313,34.1554,5.8445,8.3595,QC'd by SigmaAldrich
670,50104315,3857,C(C(C(=O)O)N)P(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.8145,-13.3855,-14.1982,-13.6862,1.5186,-9.7633,-8.1168,-30.8145,QC'd by SigmaAldrich
671,50104402,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,22.3311,-14.4032,4.6019,0.4854,-2.5076,26.9344,-15.5717,22.3311,QC'd by SigmaAldrich
672,26753676,115227,CC1=C(C=C(C(=O)N1)C#N)C2=CN3C=CN=C3C=C2.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,13.1828,-17.1135,15.4349,0.1398,11.0811,30.049,-13.7183,13.1828,QC'd by SigmaAldrich
673,50104464,5328772,C[C@H](C1=CC=CC=C1)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-14.7246,20.9886,-9.9689,16.2263,-8.0203,23.986,-9.0611,-14.7246,QC'd by SigmaAldrich
674,50105466,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0,-30.0548,-2.3289,-5.6623,-6.1706,13.1117,-7.3025,-18.2486,-30.0548,QC'd by SigmaAldrich
675,50106532,11957590,CC1=C2CCCC2=C(C=C1)OCC(C(C)NC(C)C)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 1 0 0,-36.7511,-21.8271,-6.067,-4.6704,6.7185,22.999,-13.0728,-36.7511,QC'd by SigmaAldrich
676,50106482,23702,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C.CS(=O)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,2.6242,8.3884,-4.386,12.2446,10.9176,8.1956,-4.1013,2.6242,QC'd by SigmaAldrich
677,50105775,2734952,C(=NN)(N)N.C(=NN)(N)N.OS(=O)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,23.3844,-6.5032,9.7087,7.6473,5.6655,16.1226,22.9006,23.3844,QC'd by SigmaAldrich
678,50104680,4828,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 1 0,19.9606,-23.3269,-0.0801,-9.5993,-0.0598,19.0525,-5.2696,19.9606,QC'd by SigmaAldrich
679,50106657,39214,CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-0.6761,-2.748,8.1306,10.7714,23.9267,20.909,-4.5502,-0.6761,QC'd by SigmaAldrich
680,50105852,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.9915,-14.2866,-11.1564,-20.4471,-3.2267,-15.4198,-16.3746,-13.9915,QC'd by SigmaAldrich
681,50103892,440707,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0,5.9874,-17.4058,-13.8179,-34.3836,-16.6571,-5.4347,-24.391,5.9874,QC'd by SigmaAldrich
682,50106022,20179,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,34.115,0.2589,9.3494,1.2882,19.2254,33.2672,-9.2642,34.115,QC'd by SigmaAldrich
683,50106778,5460033,N.N.Cl[Pt]Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0,1.1941,-6.0888,-15.528,-1.6636,21.6803,9.2579,-2.8783,1.1941,QC'd by SigmaAldrich
684,50106594,11957608,CC(C)(CCP(=O)(O)O)C(=O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,22.9189,10.6959,6.3768,10.6834,6.4298,38.9894,18.0174,22.9189,QC'd by SigmaAldrich
685,50106163,9909521,C=CCN1CCC2=C(C(=C(C=C2C(C1)C3=CC=CC=C3)O)O)Cl.Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 1,1.1713,-6.5268,29.6989,2.5682,19.2114,19.5026,24.8648,1.1713,QC'd by SigmaAldrich
686,50106963,71279,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 1 0 1,-0.7074,24.4377,-2.7529,-1.7649,40.3591,47.4655,2.9418,-0.7074,QC'd by SigmaAldrich
687,50106531,23704140,CC1=CC(=C(C(=C1)C(=O)N2CCC3(CCCC3)CC2)NC(=O)C[C@H](CC(=O)[O-])C4=CC=CC5=CC=CC=C54)C.[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,,1.8871,4.5959,5.5533,-19.2764,-3.0208,2.8542,8.2159,1.8871,QC'd by SigmaAldrich
688,50106411,1309,CN1CCC2=CC3=C(C=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,-1.187,1.0399,-1.5242,11.5932,20.4999,30.2223,12.1536,-1.187,QC'd by SigmaAldrich
689,50106340,41022,CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1,0.2747,-1.4499,5.1836,9.7527,4.3957,15.7883,-17.0436,0.2747,QC'd by SigmaAldrich
690,50104745,5281404,CC1=NC=CC2=C1NC3=CC=CC=C23,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,5.3884,-17.9193,-22.8638,4.119,4.8805,13.6574,7.8908,5.3884,QC'd by SigmaAldrich
691,50106269,200213,CCSC(=N)N.Br,Inactive,0,,,Inactive,,,,,,,,,,4,,0.3934,-8.4622,4.4919,-3.8687,1.6151,24.0789,-4.1265,0.3934,QC'd by SigmaAldrich
692,50106592,6420039,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.1065,-28.7661,-14.3045,-21.6992,1.4316,14.2827,-24.7788,-8.1065,QC'd by SigmaAldrich
693,50104312,22880,CN[C@H](CC(=O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0,-8.2251,-21.4695,-9.4085,-16.0307,12.9651,-9.11,-15.4655,-8.2251,QC'd by SigmaAldrich
