PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,469799985,134179283,CC1=CC2=NC=C(N2C=C1C3=CC=C(C=C3)OC(C)C)C4=CC=C(C=C4)OC(C)C,Active,,,,0.0033,EC50,<,3.3,nM
2,469799985,134179283,CC1=CC2=NC=C(N2C=C1C3=CC=C(C=C3)OC(C)C)C4=CC=C(C=C4)OC(C)C,Active,,,,0.0033,EC90,<,3.3,nM
3,469812090,146659124,CC1=CC2=NC=C(N2C=C1C3=CC=C(C=C3)OC(C)C)C4=CC=C(C=C4)OC(C)(C)C,Active,,,,0.0033,EC50,<,3.3,nM
4,469812090,146659124,CC1=CC2=NC=C(N2C=C1C3=CC=C(C=C3)OC(C)C)C4=CC=C(C=C4)OC(C)(C)C,Active,,,,0.0033,EC90,<,3.3,nM
5,469814951,134179631,CC1=CC2=C(C=C1C3=CC=C(C=C3)OC(C)C)N(C=N2)C4=CC=C(C=C4)OC(C)C,Active,,,,0.0033,EC50,<,3.3,nM
6,469814951,134179631,CC1=CC2=C(C=C1C3=CC=C(C=C3)OC(C)C)N(C=N2)C4=CC=C(C=C4)OC(C)C,Active,,,,0.0042,EC90,<,4.2,nM
7,469827463,164628450,CC1=CC2=C(C=C1C3=CC=C(C=C3)OC(C)(C)O)N(C=N2)C4=CC=C(C=C4)OC(C)(C)C,Active,,,,0.0033,EC50,<,3.3,nM
8,469827463,164628450,CC1=CC2=C(C=C1C3=CC=C(C=C3)OC(C)(C)O)N(C=N2)C4=CC=C(C=C4)OC(C)(C)C,Active,,,,0.0033,EC90,<,3.3,nM
