PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103191414,9821317,CC(C)[C@@H](C(=O)NC(CC(=O)O)C(=O)CF)NC(=O)OCC1=CC=CC=C1,Unspecified,,,,100,CC50,>,100000,nM
2,103479032,11396474,CC(C)C[C@@H](C(=O)NC(CCC(=O)N(C)C)C(=O)CF)NC(=O)OCC1=CC=CC=C1,Unspecified,,,,100,CC50,>,100000,nM
3,103479074,11452235,C[C@@H](C(=O)NC(CCC(=O)N(C)C)C(=O)CF)NC(=O)OCC1=CC=CC=C1,Unspecified,,,,100,CC50,>,100000,nM
4,103479253,9823613,CC(C)[C@@H](C(=O)NC(CCC(=O)N(C)C)C(=O)CF)NC(=O)OCC1=CC=CC=C1,Unspecified,,,,100,CC50,>,100000,nM
5,103479260,11257519,CN(C)C(=O)CCC(C(=O)CF)NC(=O)CNC(=O)OCC1=CC=CC=C1,Unspecified,,,,100,CC50,>,100000,nM
6,103479283,16073934,CCC(C)[C@@H](C(=O)NC(CCC(=O)N(C)C)C(=O)CF)NC(=O)OCC1=CC=CC=C1,Unspecified,,,,100,CC50,>,100000,nM
