PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,520023281,164820579,CNC(=O)C1=C(C(=CC(=C1)Br)[N+](=O)[O-])N[C@H]2CCCC[C@H]2NC(=O)C3=C4C=CC(=CC4=CN=C3)O,Unspecified,,,,120.3,IC50,=,120300,nM,Outside typical range
2,520054107,164820586,CNC(=O)C1=C(C(=CC(=C1)Br)[N+](=O)[O-])N[C@H]2CCCC[C@H]2NC(=O)C3=CN=CC4=CC=CC=C43,Unspecified,,,,64.6,IC50,=,64600,nM,
3,520057694,167160519,CNC(=O)[C@@H](CC1=CC(=CC=C1)F)NC(=O)C2CN(CCN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)C4=C5C(=CN=C4)C=CC=C5O,Unspecified,,,,165.1,IC50,=,165100,nM,Outside typical range
4,520059850,177375221,CC1=CC(=C(C(=C1)[N+](=O)[O-])N2CC[C@@]3(C2)CCN(C3)C(=O)C4=C5C=CC(=CC5=CN=C4)O)C(=O)NC,Unspecified,,,,49.5,IC50,=,49500,nM,
5,520063517,177375222,CNC(=O)C1=C(C(=CC(=C1)Br)[N+](=O)[O-])N[C@@H]2CCC[C@@H](C2)NC(=O)C3=C4C(=CN=C3)C=CC=C4O,Unspecified,,,,62.5,IC50,=,62500,nM,
