PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103234527,65269,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CO,Unspecified,,,,50,EC50,>,50000,nM,
2,163329958,6476927,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H]([C@H]3F)CO)O)O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
3,163336886,16075366,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H]([C@@H]3F)CO)O)O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
4,440130944,155524359,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H]([C@H]2F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
5,440140433,155530574,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](C2(F)F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
6,440142353,155531848,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H]([C@H]3F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
7,440149989,155536819,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@@H]([C@@H]1F)N2C=CC(=O)NC2=O)O)O)OC3=CC=CC=C3,Unspecified,,,,100,EC50,>,100000,nM,
8,440152092,155538219,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@@H](C1(F)F)N2C=CC(=O)NC2=O)O)O)OC3=CC=CC=C3,Unspecified,,,,100,EC50,>,100000,nM,
9,440164672,155543643,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@@H](C1(F)F)N2C=NC3=C(N=CN=C32)N)O)O)OC4=CC=CC=C4,Active,,,,6.8,EC50,=,6800,nM,
10,440167025,155544569,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H]([C@@H]2F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
11,440179418,155549525,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](C3(F)F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
12,440188656,155553203,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](C3(F)F)CO)O)O)N,Active,,,,0.5,EC50,=,500,nM,
13,440226582,155568198,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](C2(F)F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
14,440228131,155568822,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H]([C@H]2F)CO)O)O,Unspecified,,,,100,EC50,>,100000,nM,
