PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103719183,46226619,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(N[C@@H](CC(=O)O)C(=O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,461514758,162643171,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@@H](CC3=CN=CN3)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,461516489,162644389,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(N[C@@H](CCCN=C(N)N)C(=O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,461544098,162663761,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(N[C@@H](CC4=CC=CC=C4)C(=O)O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,461544394,155294500,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@H](CC(=O)O)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,461550314,155294502,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@@H](CCSC)C(=O)O)O,Active,,,Potential missing data,Inhibition,%,Active
7,461552110,162669378,CSCC[C@@H](C(=O)O)NP(=O)(O)OC[C@@H]1[C@H](C[C@@H](O1)N2C=NC3=C(N=CN=C32)N)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
8,461555723,162671922,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@@H](CC3=CC=CC=C3)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
9,461556313,162672353,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@@H](CCCN=C(N)N)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,461561187,162675794,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@@H](CC(=O)O)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,461561576,155294501,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
