PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,381838043,121304016,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Active,,,,2.27,EC50,=,2270,nM,
2,461563615,155903259,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,Active,,,,0.38,EC50,=,380,nM,
3,482050939,168271875,C1CN([C@@H](CN1C(=O)CBr)C(=O)NCC2=CC=CS2)C3=CC(=C(C=C3)Cl)Cl,Active,,,,4.24,EC50,=,4240,nM,
4,482056164,164946686,C1CN([C@@H](CN1C(=O)C2=CN=CC=C2)C(=O)NCC3=CC=CS3)C4=CC(=C(C=C4)Cl)Cl,Active,,,,0.4,EC50,=,400,nM,
5,482067581,168284002,C1CN([C@@H](CN1C(=O)C(F)(F)S(=O)(=O)F)C(=O)NCC2=CC=CS2)C3=CC(=C(C=C3)Cl)Cl,Unspecified,,,,183,EC50,=,183000,nM,Outside typical range
6,482070643,168286197,C#CC(=O)N1CCN([C@@H](C1)C(=O)NCC2=CC=CS2)C3=CC(=C(C=C3)Cl)Cl,Active,,,,1.37,EC50,=,1370,nM,
7,482085010,166642467,C1CN([C@@H](CN1C(=O)CCl)C(=O)NCC2=CC=CS2)C3=CC(=C(C=C3)Cl)Cl,Active,,,,2.64,EC50,=,2640,nM,
