PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,504794100,167820262,C1=CC(=CC=C1NC(=O)COC(=O)C2=CC(=NN2)C3=COC=C3)Br,Active,,,,2.2,IC50,=,2200,nM,,
2,504794970,116477050,CN(CC1=CC=NC=C1)C2=CC(=NC=N2)Br,Unspecified,,,,170,IC50,=,170000,nM,,Outside typical range
3,504801682,166221107,CN1C2=C(NC1=O)N=CC(=C2)C3=CC(=CC=C3)C(=O)NC4=CC=CC(=C4)C#N,Unspecified,,,,20,IC50,=,20000,nM,,
4,504801977,167825007,CN1C2=C(NC1=O)N=CC(=C2)C3=CC(=CC=C3)C(=O)NC4=CC(=CC(=C4)F)OC,Unspecified,,,,14,IC50,=,14000,nM,,
5,504804684,166413510,CN(C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C3=CN4C=CSC4=N3)C(=O)C=C,Unspecified,,,,39,IC50,=,39000,nM,,
6,504805128,166367555,C1=C(NC=C1Br)CNC2=NC(=CN=C2)C#N,Unspecified,,,,60,IC50,=,60000,nM,,
7,504806338,166366538,CN1C2=CC=CC=C2C(=C1C(=O)NCC3=CC(=C(C=C3)O)[N+](=O)[O-])Br,Unspecified,,,,19,IC50,=,19000,nM,,
8,504808959,166367557,C1=CC=C(C(=C1)C2=C3C=CNC3=NC=N2)O,Unspecified,,,,12,IC50,=,12000,nM,,
9,504809504,166367561,C1=C(N=CC2=NC(=CN21)N)C3=CSC=C3Cl,Unspecified,,,,78,IC50,=,78000,nM,,
10,504809608,172449990,C1C(CS1)NC(=O)C2=NC=NN3C2=CC=C3,Unspecified,,,,62,IC50,=,62000,nM,,
11,504810076,172450308,C1COC2=C(O1)C=C(C=C2Cl)NC(=O)C3=C(C=C(C(=C3)F)C=O)F,Unspecified,,,,25,IC50,=,25000,nM,,
12,504811159,166429160,C1CCN2C(=C(C=C2C=O)C(=O)NC3=C4C=C(C=CC4=C(C=C3)C#N)O)C1,Active,,,,8,IC50,=,8000,nM,,
13,504812239,167830641,CN1C2=C(NC1=O)N=CC(=C2)C3=CC(=CC=C3)C(=O)NC4=CC(=C(C=C4)Cl)CO,Unspecified,,,,15,IC50,=,15000,nM,,
14,504818294,166429151,C1C(=CC2=C(N=C3N2C=CC=C3)C=O)CO1,Unspecified,,,,11,IC50,=,11000,nM,,
15,504818868,166191898,C1=COC(=C1)C2=NNC(=C2)C(=O)OCC3=CN4C=C(C=CC4=N3)Br,Active,,,,6,IC50,=,6000,nM,,
16,504820152,167773502,CN(C)C1=CN=CC(=C1)NC(=O)C2=C(C=C(C=C2)C=O)O,Unspecified,,,,12,IC50,=,12000,nM,,
17,504822214,166367559,C=C(COC(=O)C1=CN=C2C(=C1)C=CN2)Cl,Unspecified,,,,31,IC50,=,31000,nM,,
18,504823777,172459803,CCC(=O)NCCC(=O)N1CCC(CC1)C2C3=C(C=C(C=C3)Cl)NC2=O,Inactive,,,Potential missing data,,Inhibition,,,%,Not Active,
19,504826263,167875399,C1=CC=C2C(=C1)C(=C(N2)C(=O)NCC3=CC(=C(C=C3)O)[N+](=O)[O-])C#N,Unspecified,,,,27,IC50,=,27000,nM,,
20,504826318,172461555,CC1=NC2=C(N1)C=C(C=N2)C3=NNN=C3,Unspecified,,,,127,IC50,=,127000,nM,,Outside typical range
21,504828323,167778178,CC1=C(SC(=C1)C(=O)NC2=C(C(=CC=C2)N3CCNC3=O)C)C=O,Active,,,,3.5,IC50,=,3500,nM,,
22,504828465,166267033,CC(C)SCN1C=NC2=C(C1=O)N(N=C2)C,Unspecified,,,,59,IC50,=,59000,nM,,
23,504828721,172463195,C=CC(=O)NCC(=O)C(=O)N1CCC(CC1)C2C3=C(C=C(C=C3)Cl)NC2=O,Active,,,,7,IC50,=,7000,nM,,
24,504831826,172465356,CC1=C(C(=C2N1CCC2)C#N)C(=O)/C=C/C3=CC(=C(C=C3)O)[N+](=O)[O-],Unspecified,,,,50,IC50,=,50000,nM,,
25,504834740,136986408,CN1C(=C(C=N1)N)C2=CC3=CC=CC=C3N2,Unspecified,,,,341,IC50,=,341000,nM,,Outside typical range
26,504837028,166230761,CCC1=C(OC2=CC=CC=C21)C(=O)/C=C/C3=CC(=C(C=C3)O)[N+](=O)[O-],Unspecified,,,,25,IC50,=,25000,nM,,
27,504838200,165708899,C=CC(=O)NCCC(=O)N1CCC(CC1)C2C3=C(C=C(C=C3)Cl)NC2=O,Unspecified,,,,32,IC50,=,32000,nM,,
