PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103183767,4680,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Active,,,,1.1,IC50,=,1100,nM,1.1 ± 0.39
2,103197668,2724387,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=S)N,Active,,,,0.78,IC50,=,780,nM,0.78 ± 0.14
3,103197669,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Active,,,,1.71,IC50,=,1710,nM,1.71 ± 0.33
4,103197958,2880,C=C(C1=CC=CC=C1OCC2=CC(=CC=C2)Cl)N3C=CN=C3,Unspecified,,,,18.92,IC50,=,18920,nM,18.92 ± 0.39
5,103198077,92727,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,Unspecified,,,,19.11,IC50,=,19110,nM,19.11 ± 0.47
6,103209066,51166,CCCCCCCCN=C1C=CN(C=C1)CCCCCCCCCCN2C=CC(=NCCCCCCCC)C=C2.Cl.Cl,Active,,,,1.65,IC50,=,1650,nM,1.65 ± 0.54
7,103227500,285033,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,Active,,,,4.71,IC50,=,4710,nM,4.71 ± 2.41
8,103241564,467825,C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](CN3C=NC=N3)(C4=C(C=C(C=C4)F)F)O,Active,,,,2.76,IC50,=,2760,nM,2.76 ± 1.3
9,103241637,148195,C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,Active,,,,5.68,IC50,=,5680,nM,5.68 ± 0.04
10,103264812,2049,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,Active,,,,0.2,IC50,=,200,nM,0.2 ± 0.01
11,103266319,3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,Unspecified,,,,15.13,IC50,=,15130,nM,15.13 ± 7.45
12,103269662,214347,CC1=CC(=C(C(=C1)C)NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C,Active,,,,0.73,IC50,=,730,nM,0.73 ± 0.1
13,103275479,151193,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4.C(CC(=O)O)C(=O)O,Unspecified,,,,18.27,IC50,=,18270,nM,18.27 ± 0.18
14,103289379,5284360,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,Active,,,,0.64,IC50,=,640,nM,0.64 ± 0.14
15,103304009,3926,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,Unspecified,,,,17.39,IC50,=,17390,nM,17.39 ± 0.16
16,103306071,11103,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)O)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O,Active,,,,1.85,IC50,=,1850,nM,1.85 ± 1.08
17,103310486,108144,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2Cl)CN3C(=C(N=N3)C(=O)N)N)Cl)Cl,Active,,,,0.09,IC50,=,90,nM,0.09 ± 0.02
18,103315998,166558,CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C,Active,,,,3.93,IC50,=,3930,nM,3.93 ± 1.76
19,103401596,71821,CC1=NC2=CC=CC=C2N1CC3=CC=C(C=C3)Cl,Active,,,,1.89,IC50,=,1890,nM,1.89 ± 0.03
20,103464558,680502,CC(C)(C)C1=CC=C(C=C1)/C=C/C(=O)NC2=CC3=C(C=C2)OCCO3,Unspecified,,,,14.97,IC50,=,14970,nM,14.97 ± 6.7
21,103475263,468595,CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,Active,,,,1.61,IC50,=,1610,nM,1.61 ± 0.4
22,103506281,9887537,C1CN(CCN1CC2=CC(=CN=C2)C3=CC=C(C=C3)F)C4=C5C(=CC=C4)OCCO5,Unspecified,,,,18.59,IC50,=,18590,nM,18.59 ± 0.09
23,103535612,10182969,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,Active,,,,5.91,IC50,=,5910,nM,5.91 ± 0.57
24,103582308,,,Active,,,,1.69,IC50,=,1690,nM,1.69 ± 0.13
25,103669325,441362,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,Unspecified,,,,14.15,IC50,=,14150,nM,14.15 ± 10.05
26,103672873,5282407,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,Unspecified,,,,19.05,IC50,=,19050,nM,19.05 ± 0.47
27,103678990,3038494,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3.Cl,Unspecified,,,,18.95,IC50,=,18950,nM,18.95 ± 0.43
