PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
2,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
3,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
4,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
5,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
6,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
7,504778011,172433137,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@H]5CCN(C5)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
8,504778011,172433137,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@H]5CCN(C5)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
9,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
10,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
11,504778013,172433139,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
12,504778013,172433139,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
13,504778014,172433140,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCCS4(=O)=O)C=C3)C(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
14,504778014,172433140,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCCS4(=O)=O)C=C3)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
15,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.489,EC50,=,1489,,nM,
16,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.603,EC50,=,1603,,nM,
17,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
18,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
19,504778016,172433142,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
20,504778016,172433142,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
21,504778016,172433142,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
22,504778016,172433142,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
23,504778017,172433143,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CC=C5)C(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
24,504778017,172433143,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CC=C5)C(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
25,504778024,172433146,CC(C)(C)[C@@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
26,504778024,172433146,CC(C)(C)[C@@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
27,504778025,171389881,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,11.064,EC50,=,11064,,nM,
28,504778025,171389881,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
29,504778026,171389892,CC(C)[C@@H](C1=NC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.858,EC50,=,858,,nM,
30,504778026,171389892,CC(C)[C@@H](C1=NC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
31,504778027,172433147,CC(C)[C@H](C1=CC2=C(CCNS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
32,504778027,172433147,CC(C)[C@H](C1=CC2=C(CCNS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
33,504778028,172433148,CC(C)[C@H](C1=CC2=C(C=C1)OCCS2(=O)=O)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
34,504778028,172433148,CC(C)[C@H](C1=CC2=C(C=C1)OCCS2(=O)=O)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
35,504778029,172433149,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
36,504778029,172433149,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
37,504778029,172433149,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
38,504778029,172433149,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
39,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.819,EC50,=,819,,nM,
40,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,3.358,EC90,=,3.358,,uM,
41,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.508,EC50,=,508,,nM,
42,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.957,EC90,=,1.957,,uM,
43,504778031,172433150,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.726,EC50,=,1726,,nM,
44,504778031,172433150,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,4.307,EC90,=,4.307,,uM,
45,504778031,172433150,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.724,EC50,=,1724,,nM,
46,504778031,172433150,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,4.234,EC90,=,4.234,,uM,
47,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
48,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
49,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
50,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
51,504778033,172433151,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC5CC5,Unspecified,,,,14.37,EC50,=,14370,,nM,
52,504778033,172433151,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC5CC5,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
53,504778034,172433152,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC6=C(C=C5)N=NN6C,Active,,,,3.644,EC50,=,3644,,nM,
54,504778034,172433152,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC6=C(C=C5)N=NN6C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
55,504778035,172433153,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
56,504778035,172433153,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
57,504778036,172433154,CC1=NC=C(C=N1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,4.506,EC50,=,4506,,nM,
