PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103681223,44236114,CC1=C(C=C(C=C1)CN)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,6,EC50,=,6000,nM,
2,103682912,2949898,CC1=CC=CC=C1C(=O)NC(C)C2=CC3=CC=CC=C3C=C2,Inactive,,,Potential missing data,,EC50,,,,Not Active
3,103684603,7899742,CC1=CC(=CC=C1)C(=O)N[C@H](C)C2=CC3=CC=CC=C3C=C2,Inactive,,,Potential missing data,,EC50,,,,Not Active
4,103686421,44235889,CC1=C(C=C(C=C1)NC(=O)C)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Unspecified,,,,14.5,EC50,=,14500,nM,
5,103688190,1287748,CC1=CC=CC=C1C(=O)N[C@H](C)C2=CC3=CC=CC=C3C=C2,Inactive,,,Potential missing data,,EC50,,,,Not Active
6,103688226,44235895,CC1=C(C=C(C=C1)CNC(=O)OC(C)(C)C)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Inactive,,,Potential missing data,,EC50,,,,Not Active
7,103689870,24941262,CC1=C(C=C(C=C1)N)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Unspecified,,,,13.1,EC50,=,13100,nM,
8,103689876,44235890,CC1=C(C=C(C=C1)N)C(=O)NC(C)(C)C2=CC=CC3=CC=CC=C32,Inactive,,,Potential missing data,,EC50,,,,Not Active
9,103691703,44236357,CC1=C(C=C(C=C1)CNC)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,5.2,EC50,=,5200,nM,
