PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,123097261,31703,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,Active,,,,0.467,IC50,=,467,nM,
2,494395613,162639549,C1=CC=C(C=C1)C2=C3C(C(=C(OC3=NN2)N)C#N)C4=COC5=CC=CC=C5C4=O,Unspecified,,,,,IC50,=,69.82,ug.mL-1,Outside typical range
3,494395871,171343028,C1=CC=C(C=C1)C2=C3C(=C(C#N)C#N)C4=C(NC(=O)N=C4OC3=NN2)C5=CC=CC=C5O,Unspecified,,,,30.13,IC50,=,30130,nM,
4,494418910,171356613,C1=CC=C(C=C1)C2=C3C(=C(C#N)C#N)C4=C(NC(=S)N=C4OC3=NN2)C5=CC=CC=C5O,Unspecified,,,,22.62,IC50,=,22620,nM,
5,494422183,171357974,C1=CC=C(C=C1)C2=C3C(=C(C#N)C#N)C4=C(N=C5C(=C4OC3=NN2)C(=O)NC(=O)N5)C6=CC=CC=C6O,Unspecified,,,,22.61,IC50,=,22610,nM,
