PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
151,504778057,171389906,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.023,IC50,=,23,,nM,,
152,504778057,171389906,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.025,IC50,=,25,,nM,,
153,504778057,171389906,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.031,IC50,=,31,,nM,,
154,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.028,IC50,=,28,,nM,,
155,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.014,IC50,=,14,,nM,,
156,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.032,IC50,=,32,,nM,,
157,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.013,IC50,=,13,,nM,,
158,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.028,IC50,=,28,,nM,,
159,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.028,IC50,=,28,,nM,,
160,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.024,IC50,=,24,,nM,,
161,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.036,IC50,=,36,,nM,,
162,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.012,IC50,=,12,,nM,,
163,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.011,IC50,=,11,,nM,,
164,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.065,IC50,=,65,,nM,,
165,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.066,IC50,=,66,,nM,,
166,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.072,IC50,=,72,,nM,,
167,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.058,IC50,=,58,,nM,,
168,504778060,172433172,CC(C)[C@H](C1=CC2=C(CCNS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.071,IC50,=,71,,nM,,
169,504778060,172433172,CC(C)[C@H](C1=CC2=C(CCNS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.057,IC50,=,57,,nM,,
170,504778061,172433173,COC1=CC=C(C=C1)[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,0.349,IC50,=,349,,nM,,
171,504778061,172433173,COC1=CC=C(C=C1)[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,0.319,IC50,=,319,,nM,,
172,504778062,172433174,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Active,,,,0.28,IC50,=,280,,nM,,
173,504778062,172433174,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Active,,,,0.305,IC50,=,305,,nM,,
174,504778062,172433174,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Active,,,,0.287,IC50,=,287,,nM,,
175,504778062,172433174,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Active,,,,0.614,IC50,=,614,,nM,,
176,504778063,171389882,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.018,IC50,=,18,,nM,,
177,504778063,171389882,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.015,IC50,=,15,,nM,,
178,504778063,171389882,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.013,IC50,=,13,,nM,,
179,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.025,IC50,=,25,,nM,,
180,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.041,IC50,=,41,,nM,,
181,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.022,IC50,=,22,,nM,,
182,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.019,IC50,=,19,,nM,,
183,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.019,IC50,=,19,,nM,,
184,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.012,IC50,=,12,,nM,,
185,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Active,,,,0.794,IC50,=,794,,nM,,
186,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Active,,,,0.622,IC50,=,622,,nM,,
187,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Active,,,,0.34,IC50,=,340,,nM,,
188,504778066,171389876,COC1=CC=C(C=C1)[C@@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,0.801,IC50,=,801,,nM,,
189,504778066,171389876,COC1=CC=C(C=C1)[C@@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,0.61,IC50,=,610,,nM,,
190,504778066,171389876,COC1=CC=C(C=C1)[C@@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,9.731,IC50,=,9731,,nM,,
191,504778066,171389876,COC1=CC=C(C=C1)[C@@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,8.119,IC50,=,8119,,nM,,
192,504778067,171389917,CC(C)[C@@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.176,IC50,=,176,,nM,,
193,504778068,172433176,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCNS4(=O)=O)C=C3)C(C)C,Active,,,,0.124,IC50,=,124,,nM,,
194,504778068,172433176,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCNS4(=O)=O)C=C3)C(C)C,Active,,,,0.117,IC50,=,117,,nM,,
195,504778068,172433176,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCNS4(=O)=O)C=C3)C(C)C,Active,,,,0.095,IC50,=,95,,nM,,
196,504778068,172433176,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCNS4(=O)=O)C=C3)C(C)C,Active,,,,0.197,IC50,=,197,,nM,,
197,504778069,171389933,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,9.145,IC50,=,9145,,nM,,
198,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.035,IC50,=,35,,nM,,
199,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.019,IC50,=,19,,nM,,
200,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.03,IC50,=,30,,nM,,
201,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.018,IC50,=,18,,nM,,
202,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.016,IC50,=,16,,nM,,
203,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.015,IC50,=,15,,nM,,
204,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.01,IC50,=,10,,nM,,
205,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.068,IC50,=,68,,nM,,
206,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.074,IC50,=,74,,nM,,
207,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.04,IC50,=,40,,nM,,
208,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.029,IC50,=,29,,nM,,
209,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.059,IC50,=,59,,nM,,
210,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.067,IC50,=,67,,nM,,
211,504778751,172433449,CC(C)[C@H](C1=CC2=C(C=C1)OCCS2=O)NC3=NC=NC4=C3C=CN4,Active,,,,0.604,IC50,=,604,,nM,,
212,504778751,172433449,CC(C)[C@H](C1=CC2=C(C=C1)OCCS2=O)NC3=NC=NC4=C3C=CN4,Active,,,,0.628,IC50,=,628,,nM,,
213,504841180,171389859,CC(C)[C@H](CO)NC1=NC=NC2=C1C=CN2,Unspecified,,,,11.179,IC50,=,11179,,nM,,
214,504841181,172471956,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=NC=C3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
215,504841181,172471956,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=NC=C3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
216,504841182,172471957,C1CCC(CC1)C[C@@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,92.316,IC50,=,92316,,nM,,
217,504841182,172471957,C1CCC(CC1)C[C@@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,91.831,IC50,=,91831,,nM,,
218,504841183,97813083,CC[C@@H]1C[C@H](CCO1)C(=O)NC2=NC=NC3=C2C(=C(N3)C)C,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
219,504841184,172471958,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC=CC(=C5)CN6CCN(CC6)C(=O)C,Active,,,,0.258,IC50,=,258,,nM,,
220,504841184,172471958,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC=CC(=C5)CN6CCN(CC6)C(=O)C,Active,,,,0.186,IC50,=,186,,nM,,
221,504841184,172471958,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC=CC(=C5)CN6CCN(CC6)C(=O)C,Active,,,,0.325,IC50,=,325,,nM,,
222,504841185,172471959,CC1=CN(N=C1)C2=CC=C(C=C2)C3=CC4=C(N3)N=CN=C4N[C@@H](C5=CC6=C(C=C5)OCCO6)C(C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
223,504841186,172471960,COC1=CC=C(C=C1)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N[C@@H]5CCC[C@@H]5C(=O)O,Unspecified,,,,20.196,IC50,=,20196,,nM,,
224,504841186,172471960,COC1=CC=C(C=C1)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N[C@@H]5CCC[C@@H]5C(=O)O,Unspecified,,,,24.61,IC50,=,24610,,nM,,
225,504841187,172471961,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)C#N,Active,,,,1.851,IC50,=,1851,,nM,,
226,504841187,172471961,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)C#N,Active,,,,2.13,IC50,=,2130,,nM,,
227,504841188,172471962,CO[C@@H]1C[C@H](N(C1)C2=NC=NC3=C2C=CN3)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
228,504841188,172471962,CO[C@@H]1C[C@H](N(C1)C2=NC=NC3=C2C=CN3)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
229,504841189,172471963,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=NNN=C43,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
230,504841190,172471964,CC1=NN(N=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C)C,Unspecified,,,,27.578,IC50,=,27578,,nM,,
231,504841190,172471964,CC1=NN(N=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C)C,Unspecified,,,,34.219,IC50,=,34219,,nM,,
232,504841191,172471965,C1CCC(C1)[C@H](C2=CC=CS2)NC(=O)C3=CSC4=C3N=CN=C4NC(=O)NC5CC5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
233,504841192,172471966,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC=C(C=C5)CC#N,Unspecified,,,,26.445,IC50,=,26445,,nM,,
234,504841192,172471966,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC=C(C=C5)CC#N,Unspecified,,,,28.876,IC50,=,28876,,nM,,
235,504841193,37656636,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NCC3=CC=C(C=C3)N4C=CC=N4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
236,504841194,172471967,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC6=NN=CN6C=C5,Active,,,,0.093,IC50,=,93,,nM,,
237,504841194,172471967,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC6=NN=CN6C=C5,Active,,,,0.073,IC50,=,73,,nM,,
238,504841194,172471967,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC6=NN=CN6C=C5,Active,,,,0.126,IC50,=,126,,nM,,
239,504841195,172471968,CC1=C(NC2=C1C(=NC=N2)NC(=O)CC3=CNN=C3)C,Unspecified,,,,75.22,IC50,=,75220,,nM,,
240,504841195,172471968,CC1=C(NC2=C1C(=NC=N2)NC(=O)CC3=CNN=C3)C,Unspecified,,,,99.007,IC50,=,99007,,nM,,
241,504841196,172471969,CC1=CC(=CN=C1C)NCC2=CC3=C(N=C2)OCC(=O)N3,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
242,504841197,172471970,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CC=C5)N6C=NN=N6,Active,,,,0.241,IC50,=,241,,nM,,
243,504841198,172471971,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC(=C3)C4=CC(=CN4)C(=O)OC,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
244,504841199,172471972,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=CC(=NC=N3)N4C=CN=N4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
245,504841200,172471973,C1CCC2(CC1)C[C@H](N(C2)C3=NC=NC4=C3C=CN4)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
246,504841200,172471973,C1CCC2(CC1)C[C@H](N(C2)C3=NC=NC4=C3C=CN4)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
247,504841201,75520145,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=NN(C=N3)C4=CC=CC=C4)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
248,504841202,171389875,CS(=O)(=O)NC1=CC=CC(=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,50.419,IC50,=,50419,,nM,,
249,504841202,171389875,CS(=O)(=O)NC1=CC=CC(=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,38.643,IC50,=,38643,,nM,,
250,504841202,171389875,CS(=O)(=O)NC1=CC=CC(=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,39.459,IC50,=,39459,,nM,,
