PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.133,IC50,=,133,,nM,
2,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.191,IC50,=,191,,nM,
3,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.235,IC50,=,235,,nM,
4,504778029,172433149,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=CN4,Active,,,,2.963,IC50,=,2963,,nM,
5,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,,IC50,,,IC50 could not be calculated,,
6,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,4,IC50,>,4000,,nM,Falls Outside The Dose Series
7,504778030,171389894,CC(C)[C@@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,4,IC50,>,4000,,nM,Falls Outside The Dose Series
8,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,0.803,IC50,=,803,,nM,
9,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,0.194,IC50,=,194,,nM,
10,504778032,171389878,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,0.512,IC50,=,512,,nM,
11,504778035,172433153,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.328,IC50,=,328,,nM,
12,504778035,172433153,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.264,IC50,=,264,,nM,
13,504778038,171389897,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC,Active,,,,0.246,IC50,=,246,,nM,
14,504778048,172433163,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.203,IC50,=,203,,nM,
15,504778056,172433170,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,,IC50,,,IC50 could not be calculated,,
16,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.322,IC50,=,322,,nM,
17,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.241,IC50,=,241,,nM,
18,504778058,171389896,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Active,,,,0.288,IC50,=,288,,nM,
19,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.479,IC50,=,479,,nM,
