PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103467701,101798,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,Unspecified,,,,5000,AC50,=,5e+06,nM,Outside typical range
2,520005323,177642369,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC)CO)O)O)CO)OC)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
3,520006501,177642914,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC)CO)O)O)CO)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
4,520020113,177648957,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
5,520023157,177650357,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1OC)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)OC)O)NC(=O)C)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
6,520023178,177650363,CO[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)OC)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC)O)CO)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
7,520041667,69415899,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1OC)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
8,520044835,3080859,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
9,520047414,177654991,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@H]([C@@H](CO)O)O)(C(=O)O)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)OC)O)O)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
10,520047517,177655034,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,Unspecified,,,,10000,AC50,>,1e+07,nM,Outside typical range
11,520047706,177655104,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O[C@@H]4[C@H]([C@@H]([C@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,Unspecified,,,,70,AC50,=,70000,nM,
12,520050721,177656467,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O)O,Unspecified,,,,60,AC50,=,60000,nM,
