PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103171247,3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
2,103171718,95783,C1=CC(=C(C=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl)Cl,Active,,,,5.12,IC50 relative,=,5.12,uM,Active
3,103174096,5289501,C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,Inactive,,,,54.13,IC50 relative,=,54.13,uM,Inactive
4,103178857,3394,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
5,103179043,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
6,103181342,5583,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,Active,,,,0.3486,IC50 relative,=,0.3486,uM,Active
7,103185681,3671,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
8,103194727,57363,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
9,103198077,92727,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
10,103199497,4306515,COC1=CC=C(C=C1)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)Cl,Inactive,,,,275,IC50 relative,=,275,uM,Inactive
11,103200288,4705,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC,Inactive,,,,13.33,IC50 relative,=,13.33,uM,Inactive
12,103206701,2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,Inactive,,,,17.67,IC50 relative,=,17.67,uM,Inactive
13,103207558,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,,,,96.27,IC50 relative,=,96.27,uM,Inactive
14,103226686,446541,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
15,103234529,73651,C1C[C@H]([C@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O,Active,,,,3.698,IC50 relative,=,3.698,uM,Active
16,103255347,16100296,CC(C)(C)C1CCC(CC1)N(CC2=CC=C(C=C2)C(=O)NCCC(=O)O)C(=O)NC3=CC=C(C=C3)OC(F)(F)F,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
17,103255895,462382,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,Active,,,,4.466,IC50 relative,=,4.466,uM,Active
18,103277645,5614,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C#N,Active,,,,0.8215,IC50 relative,=,0.8215,uM,Active
19,103278662,6918386,CC(C)N1C=NC2=C(N=C(N=C21)N(CCO)CCO)NCC3=CC=C(C=C3)OC,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
20,103283166,27924,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@H]([C@]2([C@@H](C=C(C[C@]3([C@H]2C=C(C3=O)C)O)CO)[C@H]4[C@@]1(C4(C)C)OC(=O)C)O)C,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
21,103288972,16850,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
22,103290984,17534,C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)N,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
23,103318474,1367,C1=CC=C2C(=C1)N=NN2N,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
24,103348651,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,,,,2.421,IC50 relative,=,2.421,uM,Active
25,103361523,2766326,C1CCN(CC1)CCCOC2=CC=C(C=C2)CN3CCCCC3,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
26,103422516,6199,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
27,103438050,9929799,COC(=O)C1=CC=CC=C1C2=C3C=CC(=N)C=C3OC4=C2C=CC(=C4)N.Cl,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
28,103456869,6918788,COC1=C(C=CC(=C1)/C=C(\C#N)/C(=O)NC2=NN=C(S2)C(F)(F)F)OCC3=C(C=C(C=C3)C(F)(F)F)C(F)(F)F,Inactive,,,Potential missing data,,IC50 relative,,,,Inactive
29,103456957,11327430,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,Inactive,,,,145.96,IC50 relative,=,145.96,uM,Inactive
