PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103691292,45272306,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)OCC3=CC=CC=C3,Active,,,,9.5,IC50,=,9500,nM,,
2,164128316,71508386,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)COC3=CC=CC=C3,Unspecified,,,,210,IC50,=,210000,nM,,Outside typical range
3,164128343,71508836,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)C,Unspecified,,,,24,IC50,=,24000,nM,,
4,164128344,71508222,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CC=C(C=C4)O,Active,,,,1.2,IC50,=,1200,nM,,
5,164128345,71508223,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CC=C(C=C4)N(C)C,Active,,,,0.65,IC50,=,650,nM,,
6,164131209,71508333,CC(C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1600,IC50,>,1.6e+06,nM,,Outside typical range
7,164131212,71508285,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CN=CC=C4,Active,,,,2.9,IC50,=,2900,nM,,
8,164131213,71508286,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)CNC4=CC=CC=C4,Active,,,,1.5,IC50,=,1500,nM,,
9,164131246,71508883,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CC=CC=C4,Active,,,,2.3,IC50,=,2300,nM,,
10,164131247,71508884,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CC=C(C=C4)OC,Active,,,,0.92,IC50,=,920,nM,,
11,164134021,71508331,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)CNCC4=CC=CC=C4,Active,,,,7.5,IC50,=,7500,nM,,
12,164134057,71508838,CC1=C(SC(=N1)C(=O)[C@H](C[C@@H]2CCNC2=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)OCC3=CC=CC=C3)C,Unspecified,,,,22,IC50,=,22000,nM,,
13,164134058,71508882,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)OCC4=CC=CC=C4,Active,,,,1.7,IC50,=,1700,nM,,
14,164136879,71508792,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)OCC3=CC=C(C=C3)[N+](=O)[O-],Unspecified,,,,36,IC50,=,36000,nM,,
15,164139648,71718596,CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C3=NC4=CC=CC=C4S3)NC(=O)OCC5=CC=CC=C5,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
16,164139649,71508387,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)OC3=CC=CC=C3,Unspecified,,,,1600,IC50,>,1.6e+06,nM,,Outside typical range
17,164139650,71508332,CC(C)C[C@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1600,IC50,>,1.6e+06,nM,,Outside typical range
18,164139651,71718597,CC(C)[C@@H](C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C3=NC4=CC=CC=C4S3)NC(=O)OCC5=CC=CC=C5,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
19,164139652,71508793,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)OC3=CC=CC=C3,Unspecified,,,,85,IC50,=,85000,nM,,
20,164139653,71508794,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)OCC(C)C,Unspecified,,,,250,IC50,=,250000,nM,,Outside typical range
21,164142421,71508334,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)C2=NC=CS2)NC(=O)[C@H](C(C)C)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,260,IC50,=,260000,nM,,Outside typical range
22,164142454,71508221,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CC=CC(=C4)OC,Active,,,,0.75,IC50,=,750,nM,,
23,164142455,71508284,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)[C@H](C(C)C)NC(=O)COC4=CC=C(C=C4)[N+](=O)[O-],Active,,,,3.4,IC50,=,3400,nM,,
