PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103769288,46174170,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC5=C(C=C4)OCO5,Active,,,,0.67,IC50,=,670,nM
2,103769288,46174170,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC5=C(C=C4)OCO5,Unspecified,,,,,Imax,=,99,%
3,242620558,90670149,CCC(C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC5=C(C=C4)OCO5,Unspecified,,,,17.2,IC50,=,17200,nM
4,242620559,90670150,C1CN(CCC1C(=O)NCC2=CC3=C(C=C2)OCO3)C(CO)C4=CC=CC5=CC=CC=C54,Unspecified,,,,32,IC50,=,32000,nM
5,242620560,90670151,COCC(C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC5=C(C=C4)OCO5,Unspecified,,,,100,IC50,>,100000,nM
6,242620561,90670152,C1CN(CCC1C(=O)NCC2=CC3=C(C=C2)OCO3)C(CC4=CC=CC=C4)C5=CC=CC6=CC=CC=C65,Unspecified,,,,100,IC50,>,100000,nM
7,242620562,90670153,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=CC=C4,Active,,,,2.2,IC50,=,2200,nM
8,242620563,90670154,C[C@H](C1=CC=CC=C1)NC(=O)C2CCN(CC2)[C@H](C)C3=CC=CC4=CC=CC=C43,Unspecified,,,,13.5,IC50,=,13500,nM
9,242620564,90670155,C[C@@H](C1=CC=CC=C1)NC(=O)C2CCN(CC2)[C@H](C)C3=CC=CC4=CC=CC=C43,Unspecified,,,,12.7,IC50,=,12700,nM
10,242620565,90670156,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)N[C@@H](COC)C4=CC=CC=C4,Unspecified,,,,18,IC50,=,18000,nM
11,242620566,90670157,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)N[C@H](COC)C4=CC=CC=C4,Active,,,,1.9,IC50,=,1900,nM
12,242620567,90670158,CCC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,0.47,IC50,=,470,nM
13,242620568,90670159,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=C(C=C4)C(=O)NC,Active,,,,0.6,IC50,=,600,nM
14,242620569,90670160,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)C(=O)NC,Active,,,,0.63,IC50,=,630,nM
15,242620570,90655182,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=C(C=C4)NC(=O)C,Active,,,,5.7,IC50,=,5700,nM
16,242620570,90655182,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=C(C=C4)NC(=O)C,Unspecified,,,,,Imax,=,94,%
17,242620571,86276129,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)NC(=O)C,Active,,,,0.39,IC50,=,390,nM
18,242620571,86276129,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)NC(=O)C,Unspecified,,,,,Imax,=,100,%
19,242620572,90670161,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=CC(=C4)CNC(=O)C,Unspecified,,,,20.4,IC50,=,20400,nM
20,242620573,90670162,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)Cl,Unspecified,,,,27.2,IC50,=,27200,nM
21,242620574,90670163,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=C(C=C4)Cl,Active,,,,0.58,IC50,=,580,nM
22,242620575,90655183,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=C(C=C4)F)F,Unspecified,,,,29.2,IC50,=,29200,nM
23,242620575,90655183,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=C(C=C4)F)F,Unspecified,,,,,Imax,=,78,%
24,242620576,73659185,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=C(C=C4)F,Active,,,,0.49,IC50,=,490,nM
25,242620577,73659186,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)F,Active,,,,0.15,IC50,=,150,nM
26,242620577,73659186,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)F,Unspecified,,,,,Imax,=,100,%
27,242620578,90670164,CC(C1=CC=CC2=C1N=CC=C2)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)F,Active,,,,7,IC50,=,7000,nM
28,242620579,90670165,CC(C1=C2C=CC=NC2=CC=C1)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)F,Active,,,,4.5,IC50,=,4500,nM
29,242620580,90670166,CC(C1=CC=CC2=C1C=CN=C2)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)F,Active,,,,6.8,IC50,=,6800,nM
30,242620581,90670167,CC(C1=NC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)F,Unspecified,,,,30.8,IC50,=,30800,nM
31,242620582,90670168,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CN=CC=C4,Unspecified,,,,26.3,IC50,=,26300,nM
32,242620583,90670169,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC=NC=C4,Unspecified,,,,18.3,IC50,=,18300,nM
33,242620584,86276130,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=NC=C4)OC,Active,,,,0.35,IC50,=,350,nM
34,242620584,86276130,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=NC=C4)OC,Unspecified,,,,,Imax,=,100,%
35,242620585,90670170,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCCC4=CC=C(C=C4)Cl,Active,,,,1.6,IC50,=,1600,nM
36,242620586,90670171,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCCC4=CC(=CC=C4)F,Active,,,,1.9,IC50,=,1900,nM
37,242620587,90670172,C1CC(C2=C(C1)C=CC3=CC=CC=C32)N4CCC(CC4)C(=O)NCC5=CC(=CC=C5)F,Active,,,,5.1,IC50,=,5100,nM
