PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,50,CC50,>,50000,nM,
2,103724215,2536,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
3,381838043,121304016,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
4,469798571,164608889,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC(=CC=C4)F)NC=N3,Unspecified,,,,58,CC50,=,58000,nM,
5,469801577,164611040,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC=CC(=C4)C(F)(F)F)NC=N3,Unspecified,,,,106,CC50,=,106000,nM,
6,469805378,164613793,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NNC4=CC(=CC=C4)F)NC=N3,Unspecified,,,,52.4,CC50,=,52400,nM,
