PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,136922080,10074640,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,Active,,,,3.2,EC50,=,3200,nM,
2,461540148,146672237,C1CNC(=O)[C@@H]1C[C@@H](C=O)NC(=O)[C@H](CC2=CC(=CC=C2)F)NC(=O)C3=CC4=CC=CC=C4N3,Active,,,,0.04,IC50,=,40,nM,
3,461560021,145343771,C1CCC(CC1)C[C@@H](C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)NC(=O)C3=CC4=CC=CC=C4N3,Active,,,,0.053,IC50,=,53,nM,
4,475980851,146026181,CC(C)(C)OC(=O)NC1=CC=CN(C1=O)[C@@H](CC2CC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)C(=O)NCC4=CC=CC=C4,Active,,,,0.67,IC50,=,670,nM,
5,482050438,162396343,C[C@@H](C1=CC=CC=C1)NC(=O)[C@@H](C2=CN=CC=C2)N(C3=CC=C(C=C3)C4=CC=CC=C4)C(=O)C(Cl)Cl,Active,,,,0.67,IC50,=,670,nM,
6,494409156,155804440,C1C[C@H]2CN([C@@H]([C@H]2C1)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,Active,,,,7.6,IC50,=,7600,nM,Potential transcription error
