PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103681206,44236358,CC1=C(C(=CC=C1)C)C(=O)N[C@H](C)C2=CC3=CC=CC=C3C=C2,Unspecified,,,,12.1,IC50,=,12100,nM,,
2,103681223,44236114,CC1=C(C=C(C=C1)CN)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,0.46,IC50,=,460,nM,,
3,103684603,7899742,CC1=CC(=CC=C1)C(=O)N[C@H](C)C2=CC3=CC=CC=C3C=C2,Unspecified,,,,14.8,IC50,=,14800,nM,,
4,103684604,977528,C[C@H](C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC(=CC=C3)OC,Unspecified,,,,13.5,IC50,=,13500,nM,,
5,103684617,44235434,CC1=CC=CC=C1C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,2.3,IC50,=,2300,nM,,
6,103686405,26717170,CC1=CC=C(C=C1)C(=O)N[C@H](C)C2=CC3=CC=CC=C3C=C2,Unspecified,,,,29.1,IC50,=,29100,nM,,
7,103686406,26084580,C[C@H](C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC=CC=C3OC,Unspecified,,,,90,IC50,=,90000,nM,,
8,103686413,44235655,C[C@H](C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC=C(C=C3)N,Unspecified,,,,46.1,IC50,=,46100,nM,,
9,103686414,44235654,C[C@H](C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC=C(C=C3)NC(=O)OC(C)(C)C,Inactive,,,Potential missing data,,IC50,,,,Not Active,
10,103686421,44235889,CC1=C(C=C(C=C1)NC(=O)C)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,0.56,IC50,=,560,nM,,
11,103688190,1287748,CC1=CC=CC=C1C(=O)N[C@H](C)C2=CC3=CC=CC=C3C=C2,Active,,,,8.7,IC50,=,8700,nM,,
12,103688191,977744,C[C@H](C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC=C(C=C3)OC,Unspecified,,,,149,IC50,=,149000,nM,,Outside typical range
13,103688210,44236116,C[C@H](C1=CC=CC2=CC=CC=C21)NC(=O)C3=CC=C(C=C3)N,Unspecified,,,,24.8,IC50,=,24800,nM,,
14,103688224,44235891,CC1=C(C=C(C=C1)C#N)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,5.2,IC50,=,5200,nM,,
15,103688225,44236118,CC1=C(C=C(C=C1)I)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,1.4,IC50,=,1400,nM,,
16,103688226,44235895,CC1=C(C=C(C=C1)CNC(=O)OC(C)(C)C)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,4.8,IC50,=,4800,nM,,
17,103689870,24941262,CC1=C(C=C(C=C1)N)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,2.64,IC50,=,2640,nM,,
18,103689876,44235890,CC1=C(C=C(C=C1)N)C(=O)NC(C)(C)C2=CC=CC3=CC=CC=C32,Unspecified,,,,11.1,IC50,=,11100,nM,,
19,103689877,44236120,C[C@H](C1=CC=CC2=CC=CC=C21)NC(=O)C3=C(C=CC(=C3)N)COC,Active,,,,2.7,IC50,=,2700,nM,,
20,103691681,38619668,C[C@H](C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC=CC=C3O,Inactive,,,Potential missing data,,IC50,,,,Not Active,
21,103691682,44235656,CCC(C1=CC2=CC=CC=C2C=C1)NC(=O)C3=CC=CC=C3C,Inactive,,,Potential missing data,,IC50,,,,Not Active,
22,103691690,44235657,CC1=CC=CC=C1C(=O)NC(C2=CC=CC=C2)C3=CC4=CC=CC=C4C=C3,Inactive,,,Potential missing data,,IC50,,,,Not Active,
23,103691703,44236357,CC1=C(C=C(C=C1)CNC)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,1.3,IC50,=,1300,nM,,
24,103693492,44235658,CC1=CC=CC=C1C(=O)N(C)[C@H](C)C2=CC=CC3=CC=CC=C32,Unspecified,,,,22.6,IC50,=,22600,nM,,
