PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103207344,2733525,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Unspecified,,,,34.12,IC50,=,34120,,nM
2,103224650,3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Active,,,,3.16,IC50,=,3160,,nM
3,103385271,253602,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,Unspecified,,,,,IC50,,,Not Determined,
4,103405309,,,Unspecified,,,,11.92,IC50,=,11920,,nM
5,103415244,,,Unspecified,,,,42.03,IC50,=,42030,,nM
6,103458476,6536,CCN(CC)CCOC1=CC=C(C=C1)C(CC2=CC=C(C=C2)Cl)(C3=CC=C(C=C3)C)O,Active,,,,4.68,IC50,=,4680,,nM
7,103615376,60749,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,Unspecified,,,,,IC50,,,Not Determined,
8,103619406,123596,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,Active,,,,3.24,IC50,=,3240,,nM
9,103660112,12947,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,Active,,,,9.21,IC50,=,9210,,nM
10,103669325,441362,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,Active,,,,7.11,IC50,=,7110,,nM
11,103676439,6240,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,Active,,,,3.14,IC50,=,3140,,nM
12,103770366,3246155,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Unspecified,,,,13.8,IC50,=,13800,,nM
13,103770658,3005572,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,,,,4.77,IC50,=,4770,,nM
14,103770693,68539,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl,Active,,,,5.63,IC50,=,5630,,nM
15,103770733,6014,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,Active,,,,9.21,IC50,=,9210,,nM
16,123093976,21127119,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.O.Cl,Unspecified,,,,,IC50,,,Not Determined,
17,194161805,67356,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,Active,,,,6.36,IC50,=,6360,,nM
18,242169005,64646,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.O.O.Cl.Cl,Active,,,,2.59,IC50,=,2590,,nM
19,242169005,64646,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.O.O.Cl.Cl,Active,,,,2.36,IC50,=,2360,,nM
20,374355352,5282398,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN4CCN(CC4)C)C=C1.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,Active,,,,7.09,IC50,=,7090,,nM
