PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,519996842,177381776,C1CN(C(=O)N1CC2=CC=CC=C2Cl)C3=C4C=C(C=CC4=CN=C3)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,520007076,177381775,CCN1C=NC=C1NC(=O)C2C(COC3=C2C=C(C=C3Cl)Cl)C,Unspecified,,,,66.9,IC50,=,66900,nM,
3,520018448,177381773,C1CN(CCN1CC2=C(C=C(C=C2)Cl)Cl)C(=O)C3=C4C=C(C=CC4=CN=C3)F,Active,,,,3.27,IC50,=,3270,nM,
4,520020230,167966353,C1=CC(=C(C=C1Cl)C[C@H]2C(=O)N(C(=O)N2)C3=CC(=CN=C3)F)F,Unspecified,,,,26.2,IC50,=,26200,nM,
5,520041065,177381774,C1C(C2=CC(=C(C=C2O1)Cl)Cl)C(=O)NN3C=NC4=C3C=C(C=C4F)F,Unspecified,,,,22.6,IC50,=,22600,nM,
6,520042990,86813492,C1CN(CC2=C1C(=CC(=C2)Cl)Cl)C(=O)CC3=CN=CC=C3,Unspecified,,,,62.6,IC50,=,62600,nM,
7,520044153,166193063,C1CN(CCN1CC2=C(C(=CC=C2)Cl)Cl)C(=O)C3=CN=CC=C3,Unspecified,,,,63.5,IC50,=,63500,nM,
8,520045927,170456635,CC1=CC(=CN=C1)CC(=O)N2CCC3=CC(=C(C=C3C2)Cl)Cl,Active,,,,2.3,IC50,=,2300,nM,
9,520047034,170456632,CC1=CC(=CN=C1)CC(=O)N2CCC[C@H]2C3=CC(=CC=C3)Cl,Active,,,,2.1,IC50,=,2100,nM,
10,520048467,167780448,C1CN(CCN1CC2=C(C(=CC(=C2)Cl)Cl)OC(F)F)C(=O)C3=CN=CC=C3,Unspecified,,,,63,IC50,=,63000,nM,
11,520049761,170456634,C1CN(CCN(C1)C(=O)C2=CC(=CN=C2)Cl)CC3=CC=CC=C3Cl,Active,,,,1.3,IC50,=,1300,nM,
12,520051334,177381777,C1CN(C(=O)N1CC2=C(C=C(C=C2)Cl)Cl)C3=CN=CC4=CC=CC=C43,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
13,520052814,134712416,C1CN(CCN(C1)C(=O)C2=CC(=CN=C2)Cl)CC3=CC=CC=C3C#N,Unspecified,,,,24.2,IC50,=,24200,nM,
