PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103547103,5347695,C1=CC=C(C(=C1)/C=N/N=C(N)N)OCC2=CC=C(C=C2)Cl,Unspecified,,,,11.8,Ki,=,11800,nM,
2,103574010,9560223,C1=CC(=CC=C1/C=N/N=C(N)N)/C=N/N=C(N)N,Active,,,,3.1,Ki,=,3100,nM,
3,124960921,9994348,C/C(=N\N=C(N)N)/C1=CC(=CC(=C1)N)/C(=N/N=C(N)N)/C,Active,,,,3.3,Ki,=,3300,nM,
4,124970689,5916478,C/C(=N\N=C(N)N)/C1=CC=CC=C1,Unspecified,,,,273,Ki,=,273000,nM,Outside typical range
5,461553528,162670362,CC(C)(C)[C@@H](C(=O)N[C@@H](CCON=C(N)N)C(=O)NCC1=CC=C(C=C1)C(=N)N)NC(=O)[C@H](CCON=C(N)N)NC(=O)CC2=CC=C(C=C2)CN=C(N)N,Active,,,,1.01e-05,Ki,=,0.0101,nM,
