PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103167027,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Active,,,,6.9,IC50,=,6900,nM,
2,103207220,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Active,,,,4.6,IC50,=,4600,nM,
3,103518919,6477683,C1=CC(=C2C(=C1)OC(=CC2=O)/C=C/C3=CC(=C(C=C3)O)O)O,Active,,,,7,IC50,=,7000,nM,
4,103721524,46228135,CCCCC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,Active,,,,6,IC50,=,6000,nM,
5,312355020,118711941,CCCCOC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,Active,,,,5.3,IC50,=,5300,nM,
6,494395627,169245775,CCCC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,Active,,,,8.8,IC50,=,8800,nM,
7,494398892,169725455,C1=CC(=C2C(=C1)OC(=CC2=O)CCC3=CC(=C(C=C3)O)O)O,Active,,,,5.8,IC50,=,5800,nM,
8,494399454,20159736,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OCCO)O)O,Active,,,,6.1,IC50,=,6100,nM,
9,494403155,169245773,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OCCCO)O)O,Active,,,,5.6,IC50,=,5600,nM,
10,494404396,169725045,C1=CC(=C2C(=C1)OC(=CC2=O)C(=O)NCCNC(=S)NC3=CC(=C(C=C3)O)O)O,Active,,,,3.4,IC50,=,3400,nM,
11,494410498,169745046,C1=CC(=C2C(=C1)OC(=CC2=O)C(CCCC(F)(F)F)C3=CC(=C(C=C3)O)O)O,Inactive,,,Potential missing data,,Inhibition,,,%,Not Active
12,494411209,169744295,C1=CC(=C2C(=C1)OC(=CC2=O)C(=O)OCCC3=CC(=C(C=C3)O)O)O,Unspecified,,,,44.1,IC50,=,44100,nM,
13,494415270,169745636,C1=CC(=C2C(=C1)OC(=CC2=O)CC3=CC(=C(C=C3)O)O)O,Active,,,,8.5,IC50,=,8500,nM,
14,494415935,169746042,CCCCC(C1=CC(=C(C=C1)O)O)C2=CC(=O)C3=C(C=CC=C3O2)O,Unspecified,,,,100,IC50,>,100000,nM,
15,494416515,15661823,CC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,Active,,,,4.3,IC50,=,4300,nM,
16,494417051,170012989,C1=CC(=C2C(=C1)OC(=CC2=O)C(=O)NCCNC(=O)C3=CC(=C(C=C3)O)O)O,Unspecified,,,,15.9,IC50,=,15900,nM,
17,494417077,169746063,C1=CC(=C2C(=C1)OC(=CC2=O)C(=O)OC3=CC(=C(C=C3)O)O)O,Active,,,,2,IC50,=,2000,nM,
18,494417717,169744508,CC(C1=CC(=C(C=C1)O)O)C2=CC(=O)C3=C(C=CC=C3O2)O,Active,,,,4.1,IC50,=,4100,nM,
19,494417776,169245784,C1=CC(=C2C(=C1)OC(=CC2=O)C(=O)NC3=CC(=C(C=C3)O)O)O,Active,,,,7.1,IC50,=,7100,nM,
