PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,504802007,172444685,C1[C@@H](C(=O)N2N1CC(=C2C(=O)O)C(=O)NCC3=CC=NC=C3)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6N5,Unspecified,,,,201,IC50,=,201000,nM,Outside typical range
2,504809955,172450220,C1[C@@H](C(=O)N2N1CC(=C2C(=O)O)C(=O)NCC3=CC=CC=C3)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6N5,Unspecified,,,,178,IC50,=,178000,nM,Outside typical range
3,504812129,17594016,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)C2=CC3=CC=CC=C3N2,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
4,504812177,172451766,C1[C@@H](C(=O)N2N1CC(=C2C(=O)O)C(=O)N(CC3=CC=CC=C3)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)C6=CC7=CC=CC=C7N6,Unspecified,,,,45,IC50,=,45000,nM,
5,504813096,172452402,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4)C(=O)O)Cl,Unspecified,,,,90,IC50,=,90000,nM,
6,504813750,172452858,CN(CC1=CC=CC=C1)C(=O)C2=C(N3C(=O)[C@H](CN3C2)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6N5)C(=O)O,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
7,504813898,172452956,C1[C@@H](C(=O)N2N1CC(=C2C(=O)O)C(=O)N(CC3=CC=CC=C3)CC4=CC=CC=C4)N,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
8,504822136,172458678,C1[C@H](C(=O)NO1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=CC=CC=C4N3,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
9,504824040,172459991,C1CNC(=O)[C@@H]1C[C@@H](C(=O)N[C@H]2CN3CC(=C(N3C2=O)C(=O)O)C(=O)N(CC4=CC=CC=C4)CC5=CC=CC=C5)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)C7=CC8=CC=CC=C8N7,Unspecified,,,,163,IC50,=,163000,nM,Outside typical range
10,504827161,172462147,CCN(CC)C(=O)C1=C(N2C(=O)[C@H](CN2C1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4)C(=O)O,Unspecified,,,,279,IC50,=,279000,nM,Outside typical range
11,504829128,172463473,C1CCN(C1)C(=O)C2=C(N3C(=O)[C@H](CN3C2)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6N5)C(=O)O,Unspecified,,,,181,IC50,=,181000,nM,Outside typical range
12,504830835,172464682,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4)C(=O)O)C,Unspecified,,,,134,IC50,=,134000,nM,Outside typical range
13,504833765,172466763,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=CC=CC=C4N3,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
14,504837471,172469391,C=CCOC(=O)C1=C(N2C(=O)[C@H](CN2C1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4)C(=O)O,Unspecified,,,,192,IC50,=,192000,nM,Outside typical range
